titles,reviews
검은 수녀들,사악한 악마의 모습을 보고도 놀라지 않던 여성 관객들이 마지막 엔딩에 한 남자배우의 클로즈업을 보고 괴성을 질렀다 약은 약사에게 오컬트는 장재현 감독에게 성수가 그렇게 강력하면 그걸로 샤워말고 목욕을 시키는 게 어떨까 악마 이름을 수십번도 넘게 물어보면서 정작 그 이름은 제대로 들려주지도 않는다 이 영화 자체가 신성모독 당장 꺼져라 마지막에 나오는 강동원 얼굴이 제일 재밌는 영화 이 더러운 영화야 당장 떠나거라 그래서 이 영화를 제작한 이유가 무엇인가 조금 더 긴장감 넘치고 공포감이 조성되었다면 좋았을텐데 배우들의 연기는 좋았지만 시나리오가 아쉽다 대사가 유치하다 뻔하게만 만들어줘도 내 취향에 맞을 확률이 높은데 저급하다 악마보다는 담배 너무 피우다 폐암으로 먼저 죽겠네 검은사제들 더글로리의 문동은이 대학을 졸업하고 취업이 안되서 수녀가 되었다는 느낌 중간에 악마가하는 대사 중에 아무것도 안했는데 이름부터 부르게하냐 와 비슷한 뉘앙스의 대사가있는데 여기서 공감되어서 웃었다 귀신들린 아이 연기는 좋았으나 송혜교가 정말 로봇 올해 최악의 영화 입니다 검은사제들을 보셨다면 이영화는 패스하셔도 됩니다 검은사제들에서 성별이 바뀌고 내용은 부실해졌으며 재미는 떨어졌습니다 오컬트류 한국영화를 좋아하는 입장에서도 힘들었어요 굴곡도 없는 스토리에 지루했고 더글로리 말투를 그대로 가져온것에 동은이가 겹챠보이고 굳이 왜 싶은 요소들이 한두개가 아니었다 연출은 밋밋한데 그걸 받쳐줄 배우도 관객을 잡아끌 긴장감도 역부족인 엔드 크레딧이 올라가기 시작하자 와이프가 내뱉은 말 한 마디 와 진짜 재미없다 볼만 했으나 아쉬움이 많이 남는 영화 구마의식이 제일 재미없네 구마 내내 눈꺼풀을 집어삼키는 대체 너의 이름은 평점 왜 그러지 영화도 안 보고 쓰는 사람들 같은데 영화 보고 영화를 평가하세요 파묘보다 재밌던데 여혐 악마는 욕배틀로 상대합시다 전편도 크게 재밌게 보진 않았지만 캐릭터 소모랑 믹싱이 심각한 수준이며 내인생 첫 용아맥을 빅엿으로 장식해준 고마운 영화 계속되는 악마의 저급한 단어들이 영화를 팍식게 만든다 여전히 신선한 한국적 구마 세계관 임팩트는 글쎄 검은 수녀가 된 문동은을 주재료로 그 외 좋다는 재료를 넣었지만 이도저도 아닌 다시는 안 갈 오컬트 무당 퓨전요리 인스타 맛집 명절연휴에 문 연 곳이 얼마 없어서 잘 되는듯 배우들 연기는 나쁘지 않았다 동은이 빼고는 화면과 음향 연출의 좋은 품질로 준수한 오락 영화의 자질을 갖춘다 단 초도 재밌는 순간이 없다 종교는 다르지만 결국 올바른 것을 행하는게 중요하다 잘 만들었는데 못 만든 영화 구마 고마해라 마이 묵읏다 아이가 세 배우 송혜교 전여빈 김국희 연기에 별 한개씩 시나리오는 진짜 할많하않 두 배우와 검은 사제들에 기댄 한편의 힘겨운 영화 긴장감있고 손에 땀을 쥐게 만드는 영화 수녀라는 틀에서 벗어나 여러 재밌고 신선한 소재들이 인상깊었다 파묘와 비슷한 만족을 받았으며 무조건 강추드립니다 수녀 너의 이름을 말하라 악마 내가 왜 남성 사제 중심을 벗어난 오컬트 무비의 색다른 맛 문동은의 너의 이름은 이 분야 저 분야 겉핥기에 급급하며 관객이 가장 기대하는 포인트마저도 아쉽게 흘러간다 오컬트 영화 보면서 졸기는 처음이다 그만큼 긴장감도 또 감정을 요동치는 텐션도 없었다 차라리 다양한 악마를 구마의식하는 스토리가 훨씬 좋았을거라 생각함 검은 수녀들이 실망스러운 리뷰 배우들의 연기력과 새로운 시도가 매우 좋았어요 보다가 졸았다 최근에 본 최악의 오컬트 영화 사흘 과 막상막하 같다 배우들은 이 시나리오가 정말 마음에 들어서 출연을 결정한 걸까 이런 영화는 세상에 나오면 안 되는데 오컬트에 신파 끼얹기 재미도 슬픔도 무서움도 없는 밍숭맹숭하고 듬성듬성한 영화 예고편을 제일 잘 만든듯 오컬트 장르의 싱거운 맛 많이 아쉬웠다 검은사제들과 비교하면 실망스럽지만 그래도 볼만한 영화 다음편은 검은 잘 만든 팬메이드 영화 오컬트 이렇게 만드는 거 아닌데
귀신경찰,신현준 정준호 영화는 믿고 걸러야 추모와 별개로 때리고 욕하고 싸는 개그로는 웃기기 힘든 시대 워낙에 악플리뷰가 많아서 별로 기대 안하고 봤는데 생각보다는 괜찮게 봤다 극우 연예인이 카메오로 잠깐 나와서 꼴보기 싫기는 했는데 기대를 안해서 그런지 그럭저럭 봤다 너 무 어정쩡 하다 무엇을 말해야 하는지 모르겠다 연출은 년대 느낌 스토리는 뻔함 그래도 언젠가 그리울 투샷에 봤다 귀신 같이 안 웃기고 재미로부터 굳이 관객을 지켜주는 재미경찰 국민 엄마라 불리우던 김수미의 유쾌한 모습을 마지막으로 스크린에서 볼 수 있어서 좋았다 그렇지만 영화 자체는 급 퀄리티에 부족한 완성도 올드하고 촌스러운 대사들 때문에 별로 김수미 배우님 본걸로 별한개 요즘 대학생들이 영화 만들어도 이거보단 퀄리티가 높음 김수미 선생님 조문간 느낌 웃기지가 않다 관객들의 높아진 눈을 만족시킬 영화가 나오지는 못할 망정 더럽고 웃기지도 않은 개그의 연속 웃음보단 한숨
그을린 사랑,그을린 사랑 은 오이디푸스 왕 일화의 현대적 재해석이라고 할 수 있다 영화는 쌍둥이의 모습을 보여주며 시작한다 쌍둥이는 어머니 이름은 나왈 의 유언에 따라 그들의 아버지와 형 그을리다 못해 새카맣게 타버린 운명 이 혼돈을 봉합하는 한 통의 편지 아이러니한 비극을 통해 인간과 인생에 대해 말하는 것은 나쁘지 않다 단지 상당히 작위적인 비극이어서 거슬린다 장르적으로 수사물이기도 하고 챕터도 많이 쪼개고 반전도 있고 뮤직비 개인의 서사를 인류의 아픔으로 레바논이 아닌 우리 세계의 그을린 아픔 근래 다시본 명작 다큐보다 더한 진실 그 경외로움 종교도 민족주의도 하지 못한 위대한 어머니의 용서 그을린 정도가 아니라 불타버렸다 퍽퍽함을 달래기 위해 찐득한 피를 들이킨 기분 드니 빌뇌브라는 이름을 기억하게 만든 영화 알고봐도 소름돋는다 전쟁안에 삶의 무거움을 이야기하는 줄 알았는데 그게 아니라 분노의 사슬을 끊어낸 찬란했던 사랑 전쟁 속에서도 그을렸을지언정 결코 그 빛을 잃지 않았던 그 괴로움마저 품어낸 걷어내고 덜어내고 생략함으로써 선명하게 드러난 분열의 비극 과 폭력의 불꽃 속에서도 타지 않고 끝까지 숨을 내뱉는 그을린 사랑 잔잔함 속에서 머리를 후려치는 스토리 그날의 흔적들이 고스란히 담긴 파편 비극을 사랑하는 당신에 역겨운 슬픔 이거야말로 아무것도 모르고 봐야 하는 영화 물론 다 알아도 재밌다 한 여인을 통해 비추는 끔찍한 종교 전쟁 그저 함께 살고자할 뿐이었는데 살아갔을 뿐인데 구겨진 내 마음과 이마를 펼 수가 없다
극장판 오버로드 성왕국편,오버로드 특유의 장 단점이 다보이지만 그거 나름대로 재미짐 스토리는 무난한데 중간에 늘어지는 느낌이 들고 액션은 초반엔 괜찮다가 후반에 너무 평범하다 그러나 반전은 충격이다
나 혼자만 레벨업,한국 웹툰으로 가장 성공적인 애니메이션 아직 방영중이지만 전개를 너무 질질 끈다 원작에 충실하고 작화를 갈아넣은 액션씬이 돋보인다 한국작품 애니화될때 저퀄인 경우가 대부분이었는데 힘 많이 줬다 캐릭터 한국어이름 일어이름 이중녹음하는 성의도 보였다 한국어 더빙 원해요 에반게리온과 고질라 의 소재와 장점을 잘 접목해서 마치 게임을 하듯이 스토리에 녹여낸 신박함에 빠져드게 만드네요 아주 나약한 주인공이 점차 성장하는데 기대와 궁금 소설 웹툰 다 안봤는데 이거 보고 왜 안봤었을까 후회중 너무 재밌음 이 정도면 웹툰을 애니로 적당히 잘 바꾼 듯 친구 추천으로 봣는데 짱 재밋습니다 취저 말이 필요한가 한국 웹툰계의 전설인데 내가 이 감동을 다시 느끼다니 웹툰도 그렇고 애니도 그렇고 원작이 주인을 너무 잘 만났다 기가 너무 기대됀다 일본판 이름으로 창씨개명 안당하고 기무상 바꾸상 이러는 거 보기 좋음 대신 좀 질질 끌어서 노잼 넷플 상위권이길래 봤는데 화짜리라 한방에 몰아봄 성장형 주인공에 화려한 액션 한일합작이라도 이런게 나오다니 감동 웹툰을 두 번 정주행했다 내용이 너무 익숙한 탓일까 너무 기대한 탓일까 화만 공개된 탓일까 기대보다는 아쉽다는 생각이 많이 든다 유명 웹툰으로 제목은 알고 있었다 전개가 빠르고 액션씬이 꽤 멋있다 한국 배경에 인물들도 한국인인만큼 한국어 더빙으로 보고 싶다는 생각이 들었다 원작대비 턱이 너무길어요 화 마다 차이가 너무커요 하루에 다 보긴 했음 근데 진행이 급격해서 그런지 뭔가 매끄러운 느낌은 아님 성진으쿤을 응원합니다 웹툰의 초월 이식 상상했던 웹툰 속 장면이 살아 숨쉰다 원작을 수려하게 재연해냈다 잘된 작품이 더 세련된 옷을 입은 느낌 성장 스토리가 나에겐 매우 좋았고 재미있고 특히 세계관이 정말 흥미로웠다 다만 주인공의 급격한 성장이 조금 편의적으로 느꼈던 거 같았다 추천 한다 웹소설과 애니의 흥미로운 결합 살기 위해 목숨 걸고 던전을 기웃거리는 사람들의 모습이란 재현 좀 아쉽더라 웹툰이 진짜 레전드였어서 이정도면 성공이지 다음화 얼른 나왔으면 좋겠다 기 보고 그 자리에서 웹툰 결제해서 막화까지 다 봄 우리 나라 웹툰이 애니메이션화 된 작품 중엔 최고의 아웃풋인듯 수려한 원작의 액션을 크게 모난 곳 없이 구현한 것에 큰 점수를 주고싶다 근데 왜 이렇게 묘하게 노잼일까 원작을 영상으로 잘 살려서 볼 맛이 있네 이만큼 만들어진것에 감사할뿐 재밌게잘만들었다 재미있게 봤어요 기가 기대된다 한 화가 너무 빨리 끝나서 항상 아쉬웠다 한번에 몰아봤음에도 전개가 느린게 느껴졌다 내가 가장 좋아하는 웹툰이 애니화되다니 일본에서 제작된것이 아쉽다 그림체가 잘 반영이 안됬지만 그래도 감개무량하다 애니메이션산업의 발전이 잘 이루어지기를 소망한다 원작 웹툰은 전설 기대하던 애니였고 나름 재미있게 봤다 한국어 더빙이 있다는 점도 좋았다 하지만 내용 전개가 느리다는 느낌이 들었고 마지막화의 마무리도 아쉬웠다 전반적으로 재밌지만 시원한 전개를 원한다면 쿨까지 기다렸다가 몰아보는 걸 추천 별거 안했는데 화가 지나가는 경우가 많다 웰메이드 한국 애니 더빙을 일본어로 한건 신의한수 후반부로 갈수록 볼만 재미있어요 액션 작화 좋고 스토리도 재미있어서 잘 만든 애니 제법 괜찮게 나와 만족스럽다 전개 너무 느려서 답답하지만 잼있다 흐름끊는 설명 손발 오그라지는 대사만 빼면 준수한 에니화 창씨개명 안했다는것도 장점 계급의 베런싱이 맞나 만화라 그런가하는생각이 드네요 부드러운 프레임을 더한 연출과 액션 거기에 원작의 재미까지 웹툰의 애니화를 말한다면 이 애니메이션을 보여주자 넷플릭스만 있는줄 알고 거기서 봤는데 캐릭터 이름은 다 한국인데 일본어로 말하니 개어색하네 더빙판으로 봐야지 하고 우리나라 더빙으로 봤는데 더빙 퀄리티는 일본 압승 원작의 재미가 다 망가짐 소설 원작은 둘 중 하나인듯 망작 아님 수작 웹툰이랑 내용은 조금 틀리지만 그래도 존잼 빨리 한번에 몰아볼 수 있었으면 좋겠다
나의 완벽한 비서,한지민연기최고 한지민미모레전드 괜찮은데 한지민배우 발음이 원래 이랬나 뭉개져서 알아듣기 너무 어려움 동재야 작품 잘잡았다 간만에 초장부터 달릴거 나왔다야 이준혁 붐 그 시작 간만에 나온 비주얼 합이며 검증된 연기력이며 무엇 하나 빠지지 않는 조합 힐링 로맨스에 이미 설레고 있습니다 용두용미인 드라마이길 한지민이 예쁘고 이준혁이 잘생겼어요 전개가 시원시원해서 고구마 없고 가볍게 보기 좋아요 살 여주만큼 연기하는 배우가 없어서 그런거란다 배우를 깔려면 연기로 까라 나이로 억까하지말고 각설하고 주연 두배우 은근 케미가 좋아서 보면서 계속 웃고 있습니다 응원해요 예상 가능 한듯한 스토리라는 느낌이지만 한지민 이준혁 두 분의 연기가 너무 좋고 연출도 깔끔해서 시간 가는줄 모르고 봤네요 여주 연기가 불안정 몰입감 깨지고 클리세 범벅 재미가 없다 한지민이 이쁘긴 한데 이쁘긴 한데 참 특정 받침 발음때문에 자막 없으면 잘 못 알아듣겠음 이준혁은 딕션 좋더라 흔한 내용인것 같은데 두배우의 비쥬얼 연기합이 좋고 영상미 음악 모두뛰어나 집중력이 있어서 한마디로 존잼 화까지 봤는데 이준혁 배우님의 용안 정말 감동이 심하네요 잘생겼고 잘생겼고 또 잘생겼습니다 화 보다 말았어요 어설퍼요 한지민이 왜 이친자 트렁크보고 국뽕차오르다 이런 한드보면 짜게 식는다 말안되는 설정부터 확인해주지 희미한 개연성은 설득력이 확 떨어진다 유은호에게 빠져 있어요 준혁님짱 이준혁 할말잃음 최근 남주중 가장 내스탈일 보는내내 광대승천 이렇게 잘생긴 돌싱남은 처음이다 이준혁얼굴이미침 이준혁은 어째 나이들수록 잘 생겨짐 스토리 간들간들할 듯 한지민 이준혁 캐스팅 안 했으면 고대로 망했을 수도 제작진 역량이 쪼꼼 아쉽네요 현실적이지 않은 건 뭐 제목에서부터 짐작할 수 있고 나쁘지 않은데 서사와 감정선이 너무 아쉬움 지금껏 이준혁이 마흔이 될 때까지 로코 남주로 쓰지 않았던 제작사들 죄다 직무 유기 가면 갈수록 빠져드는 대표와 비서의 로맨스 한지민 너무 예쁜데 너무 예쁘게 나오궁 이준혁도 너무 스마트하고 멋지네요 어케 보면 살짝 변주한 그냥 또 다른 백마탄 왕자님 오글거리는 한국산 로코 오피스 상황들은 하나같이 현실감 없이 오글거리기만 하고 또 너무 동화 같은 설정들 요근방 최신 드라마중 제일 쫀쫀한 드라마 응원해요 한지민 엔 이 재미있어요 남자비서 소재 신선하고 한지민씨 내가좋아하는 몇안되는 여배우 이준혁의 재발견 제발 이제 로맨스만 찍으라 생각보다 흥미진진 익숙한 소재지만 볼 만하다 생각보다 재미있어요 나에게도 이런 비서 있으면 재미 있어요 계속 볼려고요 광공 여주와 스윗남주 혐관으로 시작하는 서사부터 너무 재밌고 앞으로가 기대된다 남주 여주가 너무 잘생기고 예뻐서 재밌네요 스토리도 뭐 아직까지 볼만해요 다음회차내용이 궁금해짐 근데 도도한 여배우의 포스가 좀 없긴하지만 남주가 잘 받춰줄듯고 하고 이준혁의 재발견 로맨스 이렇게 잘하는 배우인 줄 몰랐어요 게다가 주연 배우들의 얼굴합이 너무나도 퍼펙트합니다 기대했지만 이정도 케미일 줄 몰랐어요 너무나 비현실적인 판타지에 가까운 이런 소재가 아직도 사람들의 관심을 끌 수 있는것일까 너무 뻔하고 간질거리는데 계속 보게되는 얼굴빼고 내용이 없음 왕자와 사랑에 빠지는 신데렐라의 남자버전 이준혁과 한지민의 텐션이 미쳤음 둘만 있는 장면에서 나오는 말로 설명할 수 없는 어른의 텐션 앞으로의 전개는 더 두고봐야겠음 이 로코 만족하세요 어울릴 것 같지 않은 주연들과 어울릴 것 같지 않은 배역은 기우에 불과했다 시간은 잘 가네요 남자가봐도 유은호 넘 멋있네 이건 반지의 제왕을 뛰어넘는 판타지 장르다 헹 이준혁 한지민 조합은 그냥 봐야됨 지금까진 재밌음 남여배우가 훈훈하니 보는맛이 있음 스토리야 전형적인 로코 역시 짐느 아는맛 뻔한맛 그렇지만 그래서 좋은 로맨스물 편하게 보기 좋고 헤드헌터라는 잘 몰랐던 직업을 여주가 갖고 있어서 신선했다 주인공들 분위기랑 드라마 분위기랑 잘 어울림 결점들이 결점들을 보완해준다 설렘주의보 재밌어 설레 달다 잘생김이다했다 비주얼만으로도 안볼 이유가 없는 드라마 연기력은 정평이 나있구요 다음주 빨리 왔음 좋겠어요 첨엔 뭘까 하다가 두 배우의 합이 너무 재밌어서 정주행 하고 있어요 한지민 진짜 너무 예뻐요 기대 되니다 두근두근 이준혁의 로맨스라니 벌써 개맛도리다 재밌다 다음 편도 기대 됨 아직 초반이지만 스토리도 탄탄할 것 같은 느낌이고 주연 배우님들 얼굴이 재밌어요 선남선녀의 로맨스라 눈이 즐거움
나이트 에이전트 시즌 2,발암캐들에 너무 많네 보다가 자꾸 흐름끊기는거같음 전편보다 못한 긴장감과 액션 자꾸 과거이야기는 왜 넣는건데 덕분에 더 지루했내 아 뒷목 잡게 만드는 순간들이 너무 많다 시즌 보다 더 치밀한 전개를 기대했는데 미드 특유의 답답한 꼬임과 복잡한 전개가 시즌 과는 차이가 큼 추천하지 않아요 전 시즌의 신선함은 없지만 첩보물의 익숙함은 챙겼다 시즌 보다 못한듯
남색대문,나를 등진 너의 뒷모습을 보고도 미소지을 수 있는 단순하지만 복잡했던 당신의 남색대문 이 작품이 대만에서는 청춘 영화의 바이블로 꼽힌다는데 그럴 수밖에 촌스럽지만 풋풋하고 또 싱그럽다 대만판 반쪽의 이야기 느낌 역시 청춘 드라마는 일본보다 대만이 더 취향이다 청춘의 모습을 영화 마무리까지 있는 그대로 차분하게 살펴봐서 좋았다 과하지않은 사랑에 대한 청춘들의 조심스러운 탐구 그래서 더 이쁘다 성장을 한다는게 어떤건지 제대로 보여주는 이쁜 영화 우리의 년후는 어떤 모습일까 나도 그런 친구가 있었는데 지금은 이름도 얼굴도 생각나지 않는다 어떤 모습으로라도 함께했음 싶다 낙서 따라다니기 키스 정체성 청춘들의 짝사랑이 이렇게 쓸쓸하고 우울한 거였나 스무살의 풋풋한 계륜미를 볼 수 있는 영화 영화 자체는 여타 다른 청춘영화들과 별반 다르지 않은 느낌 내 눈에 너만 가득 담긴 그림은 분명 싱그러운 여름의 빛깔 썸타는 과정에서의 흔들림을 잘 표현했다 계륜미 영상화보집 전개가 조금 답답하다는 단점 어릴때 풋풋했던 사랑이야기 깜찍한 통증 위 쌉싸름 여름 초콜릿을 펴 발라요 그냥저냥 볼만한 그 시절 대만 학생 로맨스 영화 몽글몽글한 분위기는 좋았다 인상깊은말이 있다면 나중에 남자를 좋아하게 되면 말해달라는 이야기 보는 내내 스토리가 너무 이해가 안되었다 아무리 애들의 학창시절 혼란스러운 연애 감정이 담겼다 해도 갑자기 동성친구한테 뽀뽀는 너무 뜬금없는 시점이였다 짧은데 이 분위기에 딱 적당한 길이인 것 같음 근데 남자를 안 좋아해도 걍 연락하면 안 될까 친구하자 서투른 게 더 아름다울 때가 있지 타다 남은 잿더미 속에서 펜을 다시 꺼내면서도 내가 좋아하는 사람의 감정 또한 존중한다는 것 쿠씨네 재개봉해서 다시 봤습니당 너무나 순정해서 보가 좋았닼 역시 청춘이다 스리슬쩍 그들 곁에 서서 말을 건네주고싶다 싱그러운 그 시절 대만영화 세상에 마음대로 안 되는 게 있단 걸 실감하는 것 그게 바로 청춘의 과제다 참기 견디기 덮어두기 그리하여 타협하기 아주 속상했기 때문에 성장은 고단했다 관객인 나는 애기새싹감자들의 풋풋하고 담백한 멜로로 느꼈지만 본인들한테는 처절한 멜로였겠지 인생은 가끔씩 불공평하다 그러나 그 불공평함 속에서도 다정한 밝음은 있으니 여름의 햇살과 분위기 그게 다했다 눈을 감아도 내 모습이 안 보여 하지만 네 모습은 보여 부러워 그 나이에 그렇게 아파보기라도 해서 여름하면 이 영화 계륜미 얼굴이 청춘이고 초여름 그자체임 갑갑하게 숨막히는 전개력 뜬금포 터뜨려주는 실력까지 나한테 이러시는 이유가 있을 거 아니에요 토 메가박스 대구 청춘의 감성이란 청춘을 향한 찬가 여름의 끝자락에 보려고 한참을 기다렸던 작품인데 이제 나한테 여름은 남색대문이다 낯설고 혼란스러운 감정 미완의 모습으로 머물던 그 시절의 우리 이 계절이 지나면 어른이 되어 있을까 그 여름 풋풋한 우리들의 첫사랑 사실은 너무 오래되고 빛바랜 기억이라 남색인지 파랑인지 헷갈리는 아득한 추억 남색대문 계륜미의 필모그래피를 훑다가 본 영화 여름날보면 더 좋을듯 답은 몰라도 그 여름의 감정만은 기억할 수 있게
대도시의 사랑법,그저 있는 그대로의 너와 나 우리가 살아가는 법 이 소재로 만든 영화중 최초로 상업영화로 흥행에 성공한 영화로 기록될것 같은 영화 다름은 죄가 아니다 더 당당해져라 시간이 걸리겠지만 점차 사회도 다름을 포용해 갈 테니 진짜 그냥 너무 인생영화에요 이런영화가 더 많이 만들어질수있는 세상이 오길 바래요 이성애자 남성 캐릭터를 모두 부정적으로 묘사한 것도 편견이 아닐까 사랑과 혼란의 계절 대도시의 가을에 완벽히 들어맞는 영화 내가 나로서 살아갈 수 있는 설명서 내가 완성되면 그 다음엔 우리라는 단계를 생각하게 된다 우정과사랑사이 캐릭터가 내뱉는 대사만 보면 우리의 인식을 돌아보게 하고 용기를 주는 격려의 말이지만 정작 실제 캐릭터의 행동과 그걸 커버치는 말 사이에 괴리감이 느껴지며 공감이 되질 않았다 사랑이 약점이 될 순 없다 다르기에 가까울 수 있는 사이 내가 나인 채로도 충분하다는 것을 알려준 내 대의 외장하드 올 해 본 영화중 가장 의미있고 많이 관람한 영화입니다 이런 영화가 많아졌으면 하는 바램이에요 단순 사랑이 아닌 우정이라는 그 형태를 이야기하는 영화요 평범하지 않는 두 남녀의 우정과 각각의 사랑에 대한 이야기 네가 너인게 어떻게 약점이 되겠어 누군가 더 일찍 내가 이말을 해줬더라면 김고은 배우의 연기야 말해무엇 이런 친구 있었음 좋겠다는 판타지를 주는 달콤 시린 청춘의 우정이야기 너무 잼났어요 청춘은 참 아름답다 지독하게 사랑스럽고 아린 영화 이런 사랑도 저런 사람도 있는 것 그들이 그들임에 약점이 있으랴 이 영화를 보며 이제는 이런 주제의 영화가 더 많이 또 더 다양한 형태로 늘어날거같다는 생각이 들었고 김고은 배우의 감정적 연기가 흡입력 있었다 이렇게 넓은 대도시에 나와 똑같은 사랑만이 진정한 사랑이다라고 생각하는 것 자체가 너무 진부한 생각임을 다시 한 번 더 깨달았다 증명할 수 없는 아니 증명할 필요 없는 대도시 속 각자의 사랑법 로맨스 영화니까 예고편이 로맨스 같았다 장르와 소재에 대한 편견만 버리면 무거운 주제를 가볍게 접할 수 있는 웰메이드 상업영화 내가 나인채로 산다는건 누구나 쉽지않지만 그것이 약점이 되지않기를 게이와 자유로운 영혼의 입장에서의 영화인데 작가님의 세계도 알겠고 세상에 참 다양한사람 많구나 하고 보면 되는 영화인것같아요 괜히 본것같은데 그래도 연기는 잘해요 원작에서 많은 각색이 있었지만 그래도 나쁘지 않았다 네가 너 인게 왜 네 약점이 되는데 와 미스에이의 이 기억에 남는다 포스터와 내용에 속지 말자 편견없이 보면 공감되고 재미있다 시사회 재희와 홍수의 행복을 진심으로 빌게 되는 영화 마지막에 왜 눈물이 나는지 평범한사랑이야기 개인적으로 진짜 너무 재밌었는데 혹시 제목만 보고 대중적인 로맨스를 생각하시는 분이 계시다면 이 영화에 대해 조금이라도 찾아보고 볼지 말지 결정하면 좋을 듯 해요 늘 곁에 있어주고 언제나 편이 되어주고 온 마음 다해 가식없이 행복을 빌어줄 수 있는 존재가 있다는 것 사랑과 우정에 대한 편견에 보내는 강펀치 노상현의 연기 발견 영화를 이끄는 주인공 김고은으로 시작해서 김고은으로 끝나는 대도시의 사랑법 예상보다 너무 잼있어서 놀램 추천할만함 인생영화 유돈노미 서로가 있었기에 나다울 수 있었다 재미있다 주인공들 외에는 다쓰레기 투성이 예상치못한 반전의전개로 당황 나의편견도 만만치않았구나하는걸절실히깨달음 대사들이가슴을때린다 그들의 인생엔 서로가 있었고 그랬기에 아름다웠다 대도시의 사랑법 청춘 그 자체만으로도 아름답다 나의 그시절을 회상하며 눈물 흘리며 봤어요 너답다는것이 약점이 될수 없다는 말 지금 청춘을 사는 분들께 꼭 해주고싶네요 다 떠나서 일단 영화가 재밌다 나와 다르다고 손가락질 하지 않고 있는 그대로의 나를 마음껏 드러낼 수 있는 세상이 오기를 년대의 건축학개론 이 사랑을 다룬 대명사가 되었다면 년대에는 대도시의 사랑법 이 떠올라도 괜찮지 않을까 나 또한 내가 약점이 되지 않기를 그런 세상 속에서도 나 로 살 수 있기를 이 이토록 심오한 노래였나 너가 너인 건 약점이 아니라는 것과 나도 날 모르는데 다른 사람들이 어떻게 날 판단하냐는 대사가 맘에 울림을 준다 요즘 내 상태에 보기 너무 잘했음 대신에 고민은 많아진듯 사랑보다 진하고 깊은 어떤 우정이 너무나 소중하다 청춘들의 이야기 음악도 좋고 배우들 연기도 좋고 긴호흡임에도 지루하지 않았어요 나로서 살기
동화지만 청불입니다,큰틀에서 뻗어나가면 끝에서는 하나로 모여야한다 하지만 이영화는 뜬금없이 뻗어나가시작하여 전개없이 결말에서 어거지로 결합한다 편하게 웃으면서 보기 좋은 영화 배우만 보인다는 게 종합 예술 분야인 영화에서는 칭찬이 아닐 수도 있다는 걸 보여주는 예시 순수와 파격의 경계를 넘나드는 금 성장 코미디 재밌는데 웃기고 은근 야하다 청불이지만 장르가 코미디인 것 같다 보다 웃기다 재밌다 소소하게 봤어요 요즘 많이 나오는 박지현 배우 볼겸 애써 건전해 보이려 몸부림치는 금 야한 동화 야동 뇌 비우면 볼만해요 동화지만 청불입니다 청불이지만 동화입니다 유쾌한 성인 코미디 박지현 배우의 매력만이 흘러 넘친다 그낭 생각을 안하면 웃김 보면서 연애 빠진 로맨스가 생긱이 났음 유미의 세포들이 살짝 생각났던 오프닝 황대표님의 코믹 함으로 살려낸 청불영화의 코미디 성장동화라고 하기에도 애매 청불로맨스라고 하기에도 애매 박지현 배우의 팔색조 매력에 정상적인 판단불가 매력있는 신인 배우들과 모든걸 흡수시키는 동일이 형님 조합은 괜찮다 유쾌와 유치 당돌과 당혹은 한 글자 차이 성인용 코미디로서 즐거운 영화 이렇게 다루면 안 될 주제를 다루고 있지만 코미디에는 충실했다 동화라 해도 영 유치하고 청불이지만 안 야합니다 가볍고 편하게 글쓰기 전 상대방 동의는 받았나요 코미디지만 안 웃깁니다 사회가 정의내린 본인에 대한 재정의 혹여 관객들이 사색에 빠지지 않도록 무거운 담론들을 가볍게 풀어냈다 평소 부정했던 분야에서 오히려 인생이 만개할 때 자괴감과 희열감이 한셋트로 찾아오는 민망함 그래도 만개했다며 되도 않는 위로를 하는 우리네 인생 박지현배우 예쁨 가볍게 보면 딱좋다 가볍게 보는 영화지만 단단 하지 못하다 투잡뛰는 발칙한 음란마귀들 이 영화의 문제는 따로 있어요 박지현 배우가 아니였다면 발칙포장 이지만 동화입니다 야게 야게 소재는 살았지만 나머지가 죽었습니다 성인물 담론이 필요한 시점 년 전 영화 째째한 로맨스 가 더 세련됨 스토리가 너무 뚝뚝 끊김 여자배우들 연기 최고였음 급 감성을 제대로 살리지 못한 청불인데 동화같은 영화 성소공주와 흔남 둘 악덕 사장에 권선 징악 아는 맛 상황은 있는데 디테일이 없어서 숫총각이 쎅쓰에 대해서 썰푸는 것 같음 원작자한테 허락은 받고 제작한건지 궁금한데 해결은 하셨나 어른동화 지우지 못한 원작자의 흔적 필요 이상으로 삽입한 외설 로코에서 다시 만나고픈 박지현의 러블리함 진부한 서사와 연출이고 과도한 캐릭터지만 차라리 컨셉을 더 살려서 드라마로 갔으면 차라리 나을 성동일 감초역과 몇몇 배우들이 괜찮았지만 그 뿐 박지현 배우의 차기작은 로코물 여주이길 기원하게 만든다 흥미롭게 펼쳐놓고 냅다 깽판쳐버리기 박지현만 보인다 추가로 최시원으로 장국영을 따라해보고 싶었지만 잘 안 된 것 같다 스스로 다 가리면서 무의미함을 어필 그냥 예상했던 아는 맛
