review,name
사악한 악마의 모습을 보고도 놀라지 않던 여성 관객들이 마지막 엔딩에 한 남자배우의 클로즈업을 보고 괴성을 질렀다,검은 수녀들
약은 약사에게 오컬트는 장재현 감독에게,검은 수녀들
성수가 그렇게 강력하면 그걸로 샤워말고 목욕을 시키는 게 어떨까,검은 수녀들
악마 이름을 수십번도 넘게 물어보면서 정작 그 이름은 제대로 들려주지도 않는다,검은 수녀들
이 영화 자체가 신성모독 당장 꺼져라,검은 수녀들
마지막에 나오는 강동원 얼굴이 제일 재밌는 영화,검은 수녀들
이 더러운 영화야 당장 떠나거라,검은 수녀들
그래서 이 영화를 제작한 이유가 무엇인가,검은 수녀들
조금 더 긴장감 넘치고 공포감이 조성되었다면 좋았을텐데 배우들의 연기는 좋았지만 시나리오가 아쉽다,검은 수녀들
대사가 유치하다 뻔하게만 만들어줘도 내 취향에 맞을 확률이 높은데,검은 수녀들
저급하다,검은 수녀들
악마보다는 담배 너무 피우다 폐암으로 먼저 죽겠네,검은 수녀들
검은사제들 더글로리의 문동은이 대학을 졸업하고 취업이 안되서 수녀가 되었다는 느낌,검은 수녀들
중간에 악마가하는 대사 중에 아무것도 안했는데 이름부터 부르게하냐 와 비슷한 뉘앙스의 대사가있는데 여기서 공감되어서 웃었다 귀신들린 아이 연기는 좋았으나 송혜교가 정말 로봇,검은 수녀들
올해 최악의 영화 입니다,검은 수녀들
검은사제들을 보셨다면 이영화는 패스하셔도 됩니다 검은사제들에서 성별이 바뀌고 내용은 부실해졌으며 재미는 떨어졌습니다 오컬트류 한국영화를 좋아하는 입장에서도 힘들었어요,검은 수녀들
굴곡도 없는 스토리에 지루했고 더글로리 말투를 그대로 가져온것에 동은이가 겹챠보이고 굳이 왜 싶은 요소들이 한두개가 아니었다,검은 수녀들
연출은 밋밋한데 그걸 받쳐줄 배우도 관객을 잡아끌 긴장감도 역부족인 엔드 크레딧이 올라가기 시작하자 와이프가 내뱉은 말 한 마디 와 진짜 재미없다,검은 수녀들
볼만 했으나 아쉬움이 많이 남는 영화 구마의식이 제일 재미없네,검은 수녀들
구마 내내 눈꺼풀을 집어삼키는 대체 너의 이름은,검은 수녀들
평점 왜 그러지 영화도 안 보고 쓰는 사람들 같은데 영화 보고 영화를 평가하세요 파묘보다 재밌던데,검은 수녀들
여혐 악마는 욕배틀로 상대합시다,검은 수녀들
전편도 크게 재밌게 보진 않았지만 캐릭터 소모랑 믹싱이 심각한 수준이며 내인생 첫 용아맥을 빅엿으로 장식해준 고마운 영화,검은 수녀들
계속되는 악마의 저급한 단어들이 영화를 팍식게 만든다,검은 수녀들
여전히 신선한 한국적 구마 세계관 임팩트는 글쎄,검은 수녀들
검은 수녀가 된 문동은을 주재료로 그 외 좋다는 재료를 넣었지만 이도저도 아닌 다시는 안 갈 오컬트 무당 퓨전요리 인스타 맛집 명절연휴에 문 연 곳이 얼마 없어서 잘 되는듯,검은 수녀들
배우들 연기는 나쁘지 않았다 동은이 빼고는,검은 수녀들
화면과 음향 연출의 좋은 품질로 준수한 오락 영화의 자질을 갖춘다,검은 수녀들
단 초도 재밌는 순간이 없다,검은 수녀들
종교는 다르지만 결국 올바른 것을 행하는게 중요하다,검은 수녀들
잘 만들었는데 못 만든 영화,검은 수녀들
구마 고마해라 마이 묵읏다 아이가,검은 수녀들
세 배우 송혜교 전여빈 김국희 연기에 별 한개씩 시나리오는 진짜 할많하않,검은 수녀들
두 배우와 검은 사제들에 기댄 한편의 힘겨운 영화,검은 수녀들
긴장감있고 손에 땀을 쥐게 만드는 영화 수녀라는 틀에서 벗어나 여러 재밌고 신선한 소재들이 인상깊었다 파묘와 비슷한 만족을 받았으며 무조건 강추드립니다,검은 수녀들
수녀 너의 이름을 말하라 악마 내가 왜,검은 수녀들
남성 사제 중심을 벗어난 오컬트 무비의 색다른 맛,검은 수녀들
문동은의 너의 이름은,검은 수녀들
이 분야 저 분야 겉핥기에 급급하며 관객이 가장 기대하는 포인트마저도 아쉽게 흘러간다,검은 수녀들
오컬트 영화 보면서 졸기는 처음이다 그만큼 긴장감도 또 감정을 요동치는 텐션도 없었다 차라리 다양한 악마를 구마의식하는 스토리가 훨씬 좋았을거라 생각함,검은 수녀들
검은 수녀들이 실망스러운 리뷰,검은 수녀들
배우들의 연기력과 새로운 시도가 매우 좋았어요,검은 수녀들
보다가 졸았다 최근에 본 최악의 오컬트 영화 사흘 과 막상막하 같다 배우들은 이 시나리오가 정말 마음에 들어서 출연을 결정한 걸까 이런 영화는 세상에 나오면 안 되는데,검은 수녀들
오컬트에 신파 끼얹기 재미도 슬픔도 무서움도 없는 밍숭맹숭하고 듬성듬성한 영화,검은 수녀들
예고편을 제일 잘 만든듯,검은 수녀들
오컬트 장르의 싱거운 맛 많이 아쉬웠다,검은 수녀들
검은사제들과 비교하면 실망스럽지만 그래도 볼만한 영화,검은 수녀들
다음편은 검은,검은 수녀들
잘 만든 팬메이드 영화,검은 수녀들
오컬트 이렇게 만드는 거 아닌데,검은 수녀들
