review,name
신현준 정준호 영화는 믿고 걸러야,귀신경찰
추모와 별개로 때리고 욕하고 싸는 개그로는 웃기기 힘든 시대,귀신경찰
워낙에 악플리뷰가 많아서 별로 기대 안하고 봤는데 생각보다는 괜찮게 봤다 극우 연예인이 카메오로 잠깐 나와서 꼴보기 싫기는 했는데 기대를 안해서 그런지 그럭저럭 봤다,귀신경찰
너 무 어정쩡 하다 무엇을 말해야 하는지 모르겠다,귀신경찰
연출은 년대 느낌 스토리는 뻔함 그래도 언젠가 그리울 투샷에 봤다,귀신경찰
귀신 같이 안 웃기고 재미로부터 굳이 관객을 지켜주는 재미경찰,귀신경찰
국민 엄마라 불리우던 김수미의 유쾌한 모습을 마지막으로 스크린에서 볼 수 있어서 좋았다 그렇지만 영화 자체는 급 퀄리티에 부족한 완성도 올드하고 촌스러운 대사들 때문에 별로,귀신경찰
김수미 배우님 본걸로 별한개 요즘 대학생들이 영화 만들어도 이거보단 퀄리티가 높음,귀신경찰
김수미 선생님 조문간 느낌 웃기지가 않다,귀신경찰
관객들의 높아진 눈을 만족시킬 영화가 나오지는 못할 망정,귀신경찰
더럽고 웃기지도 않은 개그의 연속 웃음보단 한숨,귀신경찰
