review,name
그을린 사랑 은 오이디푸스 왕 일화의 현대적 재해석이라고 할 수 있다 영화는 쌍둥이의 모습을 보여주며 시작한다 쌍둥이는 어머니 이름은 나왈 의 유언에 따라 그들의 아버지와 형,그을린 사랑
그을리다 못해 새카맣게 타버린 운명 이 혼돈을 봉합하는 한 통의 편지,그을린 사랑
아이러니한 비극을 통해 인간과 인생에 대해 말하는 것은 나쁘지 않다 단지 상당히 작위적인 비극이어서 거슬린다 장르적으로 수사물이기도 하고 챕터도 많이 쪼개고 반전도 있고 뮤직비,그을린 사랑
개인의 서사를 인류의 아픔으로 레바논이 아닌 우리 세계의 그을린 아픔 근래 다시본 명작,그을린 사랑
다큐보다 더한 진실 그 경외로움,그을린 사랑
종교도 민족주의도 하지 못한 위대한 어머니의 용서 그을린 정도가 아니라 불타버렸다,그을린 사랑
퍽퍽함을 달래기 위해 찐득한 피를 들이킨 기분,그을린 사랑
드니 빌뇌브라는 이름을 기억하게 만든 영화,그을린 사랑
알고봐도 소름돋는다,그을린 사랑
전쟁안에 삶의 무거움을 이야기하는 줄 알았는데 그게 아니라 분노의 사슬을 끊어낸 찬란했던 사랑 전쟁 속에서도 그을렸을지언정 결코 그 빛을 잃지 않았던 그 괴로움마저 품어낸,그을린 사랑
걷어내고 덜어내고 생략함으로써 선명하게 드러난 분열의 비극 과 폭력의 불꽃 속에서도 타지 않고 끝까지 숨을 내뱉는 그을린 사랑,그을린 사랑
잔잔함 속에서 머리를 후려치는 스토리,그을린 사랑
그날의 흔적들이 고스란히 담긴 파편,그을린 사랑
비극을 사랑하는 당신에,그을린 사랑
역겨운 슬픔,그을린 사랑
이거야말로 아무것도 모르고 봐야 하는 영화 물론 다 알아도 재밌다,그을린 사랑
한 여인을 통해 비추는 끔찍한 종교 전쟁 그저 함께 살고자할 뿐이었는데 살아갔을 뿐인데 구겨진 내 마음과 이마를 펼 수가 없다,그을린 사랑
