review,name
한국 웹툰으로 가장 성공적인 애니메이션,나 혼자만 레벨업
아직 방영중이지만 전개를 너무 질질 끈다,나 혼자만 레벨업
원작에 충실하고 작화를 갈아넣은 액션씬이 돋보인다 한국작품 애니화될때 저퀄인 경우가 대부분이었는데 힘 많이 줬다 캐릭터 한국어이름 일어이름 이중녹음하는 성의도 보였다,나 혼자만 레벨업
한국어 더빙 원해요,나 혼자만 레벨업
에반게리온과 고질라 의 소재와 장점을 잘 접목해서 마치 게임을 하듯이 스토리에 녹여낸 신박함에 빠져드게 만드네요 아주 나약한 주인공이 점차 성장하는데 기대와 궁금,나 혼자만 레벨업
소설 웹툰 다 안봤는데 이거 보고 왜 안봤었을까 후회중 너무 재밌음,나 혼자만 레벨업
이 정도면 웹툰을 애니로 적당히 잘 바꾼 듯,나 혼자만 레벨업
친구 추천으로 봣는데 짱 재밋습니다 취저,나 혼자만 레벨업
말이 필요한가 한국 웹툰계의 전설인데,나 혼자만 레벨업
내가 이 감동을 다시 느끼다니,나 혼자만 레벨업
웹툰도 그렇고 애니도 그렇고 원작이 주인을 너무 잘 만났다,나 혼자만 레벨업
기가 너무 기대됀다,나 혼자만 레벨업
일본판 이름으로 창씨개명 안당하고 기무상 바꾸상 이러는 거 보기 좋음 대신 좀 질질 끌어서 노잼,나 혼자만 레벨업
넷플 상위권이길래 봤는데 화짜리라 한방에 몰아봄 성장형 주인공에 화려한 액션 한일합작이라도 이런게 나오다니 감동,나 혼자만 레벨업
웹툰을 두 번 정주행했다 내용이 너무 익숙한 탓일까 너무 기대한 탓일까 화만 공개된 탓일까 기대보다는 아쉽다는 생각이 많이 든다,나 혼자만 레벨업
유명 웹툰으로 제목은 알고 있었다 전개가 빠르고 액션씬이 꽤 멋있다 한국 배경에 인물들도 한국인인만큼 한국어 더빙으로 보고 싶다는 생각이 들었다,나 혼자만 레벨업
원작대비 턱이 너무길어요 화 마다 차이가 너무커요,나 혼자만 레벨업
하루에 다 보긴 했음 근데 진행이 급격해서 그런지 뭔가 매끄러운 느낌은 아님,나 혼자만 레벨업
성진으쿤을 응원합니다,나 혼자만 레벨업
웹툰의 초월 이식 상상했던 웹툰 속 장면이 살아 숨쉰다,나 혼자만 레벨업
원작을 수려하게 재연해냈다,나 혼자만 레벨업
잘된 작품이 더 세련된 옷을 입은 느낌,나 혼자만 레벨업
성장 스토리가 나에겐 매우 좋았고 재미있고 특히 세계관이 정말 흥미로웠다 다만 주인공의 급격한 성장이 조금 편의적으로 느꼈던 거 같았다 추천 한다,나 혼자만 레벨업
웹소설과 애니의 흥미로운 결합 살기 위해 목숨 걸고 던전을 기웃거리는 사람들의 모습이란,나 혼자만 레벨업
재현 좀 아쉽더라,나 혼자만 레벨업
웹툰이 진짜 레전드였어서 이정도면 성공이지 다음화 얼른 나왔으면 좋겠다,나 혼자만 레벨업
기 보고 그 자리에서 웹툰 결제해서 막화까지 다 봄,나 혼자만 레벨업
우리 나라 웹툰이 애니메이션화 된 작품 중엔 최고의 아웃풋인듯 수려한 원작의 액션을 크게 모난 곳 없이 구현한 것에 큰 점수를 주고싶다 근데 왜 이렇게 묘하게 노잼일까,나 혼자만 레벨업
원작을 영상으로 잘 살려서 볼 맛이 있네,나 혼자만 레벨업
이만큼 만들어진것에 감사할뿐 재밌게잘만들었다,나 혼자만 레벨업
재미있게 봤어요,나 혼자만 레벨업
기가 기대된다 한 화가 너무 빨리 끝나서 항상 아쉬웠다 한번에 몰아봤음에도 전개가 느린게 느껴졌다,나 혼자만 레벨업
내가 가장 좋아하는 웹툰이 애니화되다니 일본에서 제작된것이 아쉽다 그림체가 잘 반영이 안됬지만 그래도 감개무량하다 애니메이션산업의 발전이 잘 이루어지기를 소망한다,나 혼자만 레벨업
원작 웹툰은 전설,나 혼자만 레벨업
기대하던 애니였고 나름 재미있게 봤다 한국어 더빙이 있다는 점도 좋았다 하지만 내용 전개가 느리다는 느낌이 들었고 마지막화의 마무리도 아쉬웠다,나 혼자만 레벨업
전반적으로 재밌지만 시원한 전개를 원한다면 쿨까지 기다렸다가 몰아보는 걸 추천 별거 안했는데 화가 지나가는 경우가 많다,나 혼자만 레벨업
웰메이드 한국 애니 더빙을 일본어로 한건 신의한수,나 혼자만 레벨업
후반부로 갈수록 볼만,나 혼자만 레벨업
재미있어요,나 혼자만 레벨업
액션 작화 좋고 스토리도 재미있어서 잘 만든 애니,나 혼자만 레벨업
제법 괜찮게 나와 만족스럽다,나 혼자만 레벨업
전개 너무 느려서 답답하지만 잼있다,나 혼자만 레벨업
흐름끊는 설명 손발 오그라지는 대사만 빼면 준수한 에니화 창씨개명 안했다는것도 장점,나 혼자만 레벨업
계급의 베런싱이 맞나 만화라 그런가하는생각이 드네요,나 혼자만 레벨업
부드러운 프레임을 더한 연출과 액션 거기에 원작의 재미까지,나 혼자만 레벨업
웹툰의 애니화를 말한다면 이 애니메이션을 보여주자,나 혼자만 레벨업
넷플릭스만 있는줄 알고 거기서 봤는데 캐릭터 이름은 다 한국인데 일본어로 말하니 개어색하네 더빙판으로 봐야지 하고 우리나라 더빙으로 봤는데 더빙 퀄리티는 일본 압승,나 혼자만 레벨업
원작의 재미가 다 망가짐 소설 원작은 둘 중 하나인듯 망작 아님 수작,나 혼자만 레벨업
웹툰이랑 내용은 조금 틀리지만 그래도 존잼,나 혼자만 레벨업
빨리 한번에 몰아볼 수 있었으면 좋겠다,나 혼자만 레벨업
