review,name
한지민연기최고,나의 완벽한 비서
한지민미모레전드,나의 완벽한 비서
괜찮은데 한지민배우 발음이 원래 이랬나 뭉개져서 알아듣기 너무 어려움,나의 완벽한 비서
동재야 작품 잘잡았다 간만에 초장부터 달릴거 나왔다야,나의 완벽한 비서
이준혁 붐 그 시작 간만에 나온 비주얼 합이며 검증된 연기력이며 무엇 하나 빠지지 않는 조합 힐링 로맨스에 이미 설레고 있습니다 용두용미인 드라마이길,나의 완벽한 비서
한지민이 예쁘고 이준혁이 잘생겼어요 전개가 시원시원해서 고구마 없고 가볍게 보기 좋아요,나의 완벽한 비서
살 여주만큼 연기하는 배우가 없어서 그런거란다 배우를 깔려면 연기로 까라 나이로 억까하지말고 각설하고 주연 두배우 은근 케미가 좋아서 보면서 계속 웃고 있습니다 응원해요,나의 완벽한 비서
예상 가능 한듯한 스토리라는 느낌이지만 한지민 이준혁 두 분의 연기가 너무 좋고 연출도 깔끔해서 시간 가는줄 모르고 봤네요,나의 완벽한 비서
여주 연기가 불안정 몰입감 깨지고 클리세 범벅 재미가 없다,나의 완벽한 비서
한지민이 이쁘긴 한데 이쁘긴 한데 참 특정 받침 발음때문에 자막 없으면 잘 못 알아듣겠음 이준혁은 딕션 좋더라,나의 완벽한 비서
흔한 내용인것 같은데 두배우의 비쥬얼 연기합이 좋고 영상미 음악 모두뛰어나 집중력이 있어서 한마디로 존잼,나의 완벽한 비서
화까지 봤는데 이준혁 배우님의 용안 정말 감동이 심하네요 잘생겼고 잘생겼고 또 잘생겼습니다,나의 완벽한 비서
화 보다 말았어요 어설퍼요 한지민이 왜 이친자 트렁크보고 국뽕차오르다 이런 한드보면 짜게 식는다 말안되는 설정부터 확인해주지 희미한 개연성은 설득력이 확 떨어진다,나의 완벽한 비서
유은호에게 빠져 있어요 준혁님짱,나의 완벽한 비서
이준혁 할말잃음 최근 남주중 가장 내스탈일 보는내내 광대승천,나의 완벽한 비서
이렇게 잘생긴 돌싱남은 처음이다 이준혁얼굴이미침,나의 완벽한 비서
이준혁은 어째 나이들수록 잘 생겨짐 스토리 간들간들할 듯,나의 완벽한 비서
한지민 이준혁 캐스팅 안 했으면 고대로 망했을 수도 제작진 역량이 쪼꼼 아쉽네요 현실적이지 않은 건 뭐 제목에서부터 짐작할 수 있고 나쁘지 않은데 서사와 감정선이 너무 아쉬움,나의 완벽한 비서
지금껏 이준혁이 마흔이 될 때까지 로코 남주로 쓰지 않았던 제작사들 죄다 직무 유기,나의 완벽한 비서
가면 갈수록 빠져드는 대표와 비서의 로맨스,나의 완벽한 비서
한지민 너무 예쁜데 너무 예쁘게 나오궁 이준혁도 너무 스마트하고 멋지네요,나의 완벽한 비서
