review,name
나를 등진 너의 뒷모습을 보고도 미소지을 수 있는,남색대문
단순하지만 복잡했던 당신의 남색대문,남색대문
이 작품이 대만에서는 청춘 영화의 바이블로 꼽힌다는데 그럴 수밖에 촌스럽지만 풋풋하고 또 싱그럽다,남색대문
대만판 반쪽의 이야기 느낌 역시 청춘 드라마는 일본보다 대만이 더 취향이다,남색대문
청춘의 모습을 영화 마무리까지 있는 그대로 차분하게 살펴봐서 좋았다,남색대문
과하지않은 사랑에 대한 청춘들의 조심스러운 탐구 그래서 더 이쁘다 성장을 한다는게 어떤건지 제대로 보여주는 이쁜 영화,남색대문
우리의 년후는 어떤 모습일까 나도 그런 친구가 있었는데 지금은 이름도 얼굴도 생각나지 않는다 어떤 모습으로라도 함께했음 싶다 낙서 따라다니기 키스 정체성,남색대문
청춘들의 짝사랑이 이렇게 쓸쓸하고 우울한 거였나,남색대문
스무살의 풋풋한 계륜미를 볼 수 있는 영화 영화 자체는 여타 다른 청춘영화들과 별반 다르지 않은 느낌,남색대문
내 눈에 너만 가득 담긴 그림은 분명 싱그러운 여름의 빛깔,남색대문
썸타는 과정에서의 흔들림을 잘 표현했다,남색대문
계륜미 영상화보집 전개가 조금 답답하다는 단점,남색대문
어릴때 풋풋했던 사랑이야기,남색대문
깜찍한 통증 위 쌉싸름 여름 초콜릿을 펴 발라요,남색대문
그냥저냥 볼만한 그 시절 대만 학생 로맨스 영화 몽글몽글한 분위기는 좋았다 인상깊은말이 있다면 나중에 남자를 좋아하게 되면 말해달라는 이야기,남색대문
보는 내내 스토리가 너무 이해가 안되었다 아무리 애들의 학창시절 혼란스러운 연애 감정이 담겼다 해도 갑자기 동성친구한테 뽀뽀는 너무 뜬금없는 시점이였다,남색대문
짧은데 이 분위기에 딱 적당한 길이인 것 같음 근데 남자를 안 좋아해도 걍 연락하면 안 될까 친구하자,남색대문
서투른 게 더 아름다울 때가 있지,남색대문
타다 남은 잿더미 속에서 펜을 다시 꺼내면서도 내가 좋아하는 사람의 감정 또한 존중한다는 것,남색대문
쿠씨네 재개봉해서 다시 봤습니당 너무나 순정해서 보가 좋았닼 역시 청춘이다,남색대문
스리슬쩍 그들 곁에 서서 말을 건네주고싶다 싱그러운 그 시절 대만영화,남색대문
세상에 마음대로 안 되는 게 있단 걸 실감하는 것 그게 바로 청춘의 과제다 참기 견디기 덮어두기 그리하여 타협하기 아주 속상했기 때문에 성장은 고단했다,남색대문
관객인 나는 애기새싹감자들의 풋풋하고 담백한 멜로로 느꼈지만 본인들한테는 처절한 멜로였겠지,남색대문
인생은 가끔씩 불공평하다 그러나 그 불공평함 속에서도 다정한 밝음은 있으니,남색대문
여름의 햇살과 분위기 그게 다했다,남색대문
눈을 감아도 내 모습이 안 보여 하지만 네 모습은 보여,남색대문
부러워 그 나이에 그렇게 아파보기라도 해서,남색대문
여름하면 이 영화,남색대문
계륜미 얼굴이 청춘이고 초여름 그자체임,남색대문
갑갑하게 숨막히는 전개력 뜬금포 터뜨려주는 실력까지 나한테 이러시는 이유가 있을 거 아니에요 토 메가박스 대구,남색대문
청춘의 감성이란,남색대문
청춘을 향한 찬가,남색대문
여름의 끝자락에 보려고 한참을 기다렸던 작품인데 이제 나한테 여름은 남색대문이다,남색대문
낯설고 혼란스러운 감정 미완의 모습으로 머물던 그 시절의 우리 이 계절이 지나면 어른이 되어 있을까,남색대문
그 여름 풋풋한 우리들의 첫사랑,남색대문
사실은 너무 오래되고 빛바랜 기억이라 남색인지 파랑인지 헷갈리는 아득한 추억,남색대문
남색대문,남색대문
계륜미의 필모그래피를 훑다가 본 영화 여름날보면 더 좋을듯,남색대문
답은 몰라도 그 여름의 감정만은 기억할 수 있게,남색대문
