review,name
그저 있는 그대로의 너와 나 우리가 살아가는 법,대도시의 사랑법
이 소재로 만든 영화중 최초로 상업영화로 흥행에 성공한 영화로 기록될것 같은 영화,대도시의 사랑법
다름은 죄가 아니다 더 당당해져라 시간이 걸리겠지만 점차 사회도 다름을 포용해 갈 테니,대도시의 사랑법
진짜 그냥 너무 인생영화에요 이런영화가 더 많이 만들어질수있는 세상이 오길 바래요,대도시의 사랑법
이성애자 남성 캐릭터를 모두 부정적으로 묘사한 것도 편견이 아닐까,대도시의 사랑법
사랑과 혼란의 계절 대도시의 가을에 완벽히 들어맞는 영화,대도시의 사랑법
내가 나로서 살아갈 수 있는 설명서 내가 완성되면 그 다음엔 우리라는 단계를 생각하게 된다,대도시의 사랑법
우정과사랑사이,대도시의 사랑법
캐릭터가 내뱉는 대사만 보면 우리의 인식을 돌아보게 하고 용기를 주는 격려의 말이지만 정작 실제 캐릭터의 행동과 그걸 커버치는 말 사이에 괴리감이 느껴지며 공감이 되질 않았다,대도시의 사랑법
사랑이 약점이 될 순 없다,대도시의 사랑법
다르기에 가까울 수 있는 사이,대도시의 사랑법
내가 나인 채로도 충분하다는 것을 알려준 내 대의 외장하드,대도시의 사랑법
올 해 본 영화중 가장 의미있고 많이 관람한 영화입니다 이런 영화가 많아졌으면 하는 바램이에요 단순 사랑이 아닌 우정이라는 그 형태를 이야기하는 영화요,대도시의 사랑법
평범하지 않는 두 남녀의 우정과 각각의 사랑에 대한 이야기 네가 너인게 어떻게 약점이 되겠어 누군가 더 일찍 내가 이말을 해줬더라면 김고은 배우의 연기야 말해무엇,대도시의 사랑법
이런 친구 있었음 좋겠다는 판타지를 주는 달콤 시린 청춘의 우정이야기,대도시의 사랑법
너무 잼났어요 청춘은 참 아름답다,대도시의 사랑법
지독하게 사랑스럽고 아린 영화,대도시의 사랑법
이런 사랑도 저런 사람도 있는 것 그들이 그들임에 약점이 있으랴,대도시의 사랑법
이 영화를 보며 이제는 이런 주제의 영화가 더 많이 또 더 다양한 형태로 늘어날거같다는 생각이 들었고 김고은 배우의 감정적 연기가 흡입력 있었다,대도시의 사랑법
이렇게 넓은 대도시에 나와 똑같은 사랑만이 진정한 사랑이다라고 생각하는 것 자체가 너무 진부한 생각임을 다시 한 번 더 깨달았다,대도시의 사랑법
증명할 수 없는 아니 증명할 필요 없는 대도시 속 각자의 사랑법,대도시의 사랑법
로맨스 영화니까 예고편이 로맨스 같았다,대도시의 사랑법
장르와 소재에 대한 편견만 버리면 무거운 주제를 가볍게 접할 수 있는 웰메이드 상업영화,대도시의 사랑법
내가 나인채로 산다는건 누구나 쉽지않지만 그것이 약점이 되지않기를,대도시의 사랑법
게이와 자유로운 영혼의 입장에서의 영화인데 작가님의 세계도 알겠고 세상에 참 다양한사람 많구나 하고 보면 되는 영화인것같아요 괜히 본것같은데 그래도 연기는 잘해요,대도시의 사랑법
원작에서 많은 각색이 있었지만 그래도 나쁘지 않았다 네가 너 인게 왜 네 약점이 되는데 와 미스에이의 이 기억에 남는다,대도시의 사랑법
포스터와 내용에 속지 말자 편견없이 보면 공감되고 재미있다 시사회,대도시의 사랑법
재희와 홍수의 행복을 진심으로 빌게 되는 영화 마지막에 왜 눈물이 나는지,대도시의 사랑법
평범한사랑이야기,대도시의 사랑법
개인적으로 진짜 너무 재밌었는데 혹시 제목만 보고 대중적인 로맨스를 생각하시는 분이 계시다면 이 영화에 대해 조금이라도 찾아보고 볼지 말지 결정하면 좋을 듯 해요,대도시의 사랑법
늘 곁에 있어주고 언제나 편이 되어주고 온 마음 다해 가식없이 행복을 빌어줄 수 있는 존재가 있다는 것,대도시의 사랑법
사랑과 우정에 대한 편견에 보내는 강펀치 노상현의 연기 발견 영화를 이끄는 주인공 김고은으로 시작해서 김고은으로 끝나는 대도시의 사랑법,대도시의 사랑법
예상보다 너무 잼있어서 놀램 추천할만함,대도시의 사랑법
인생영화,대도시의 사랑법
유돈노미,대도시의 사랑법
서로가 있었기에 나다울 수 있었다,대도시의 사랑법
재미있다 주인공들 외에는 다쓰레기 투성이 예상치못한 반전의전개로 당황 나의편견도 만만치않았구나하는걸절실히깨달음 대사들이가슴을때린다,대도시의 사랑법
그들의 인생엔 서로가 있었고 그랬기에 아름다웠다,대도시의 사랑법
대도시의 사랑법,대도시의 사랑법
청춘 그 자체만으로도 아름답다 나의 그시절을 회상하며 눈물 흘리며 봤어요 너답다는것이 약점이 될수 없다는 말 지금 청춘을 사는 분들께 꼭 해주고싶네요,대도시의 사랑법
다 떠나서 일단 영화가 재밌다 나와 다르다고 손가락질 하지 않고 있는 그대로의 나를 마음껏 드러낼 수 있는 세상이 오기를,대도시의 사랑법
년대의 건축학개론 이 사랑을 다룬 대명사가 되었다면 년대에는 대도시의 사랑법 이 떠올라도 괜찮지 않을까,대도시의 사랑법
나 또한 내가 약점이 되지 않기를 그런 세상 속에서도 나 로 살 수 있기를,대도시의 사랑법
이 이토록 심오한 노래였나,대도시의 사랑법
너가 너인 건 약점이 아니라는 것과 나도 날 모르는데 다른 사람들이 어떻게 날 판단하냐는 대사가 맘에 울림을 준다 요즘 내 상태에 보기 너무 잘했음 대신에 고민은 많아진듯,대도시의 사랑법
사랑보다 진하고 깊은 어떤 우정이 너무나 소중하다,대도시의 사랑법
청춘들의 이야기,대도시의 사랑법
음악도 좋고 배우들 연기도 좋고 긴호흡임에도 지루하지 않았어요,대도시의 사랑법
나로서 살기,대도시의 사랑법
