review,name
큰틀에서 뻗어나가면 끝에서는 하나로 모여야한다 하지만 이영화는 뜬금없이 뻗어나가시작하여 전개없이 결말에서 어거지로 결합한다,동화지만 청불입니다
편하게 웃으면서 보기 좋은 영화,동화지만 청불입니다
배우만 보인다는 게 종합 예술 분야인 영화에서는 칭찬이 아닐 수도 있다는 걸 보여주는 예시,동화지만 청불입니다
순수와 파격의 경계를 넘나드는 금 성장 코미디,동화지만 청불입니다
재밌는데 웃기고 은근 야하다 청불이지만 장르가 코미디인 것 같다 보다 웃기다 재밌다,동화지만 청불입니다
소소하게 봤어요 요즘 많이 나오는 박지현 배우 볼겸,동화지만 청불입니다
애써 건전해 보이려 몸부림치는 금 야한 동화 야동,동화지만 청불입니다
뇌 비우면 볼만해요,동화지만 청불입니다
동화지만 청불입니다,동화지만 청불입니다
청불이지만 동화입니다,동화지만 청불입니다
유쾌한 성인 코미디,동화지만 청불입니다
박지현 배우의 매력만이 흘러 넘친다,동화지만 청불입니다
그낭 생각을 안하면 웃김 보면서 연애 빠진 로맨스가 생긱이 났음,동화지만 청불입니다
유미의 세포들이 살짝 생각났던 오프닝 황대표님의 코믹 함으로 살려낸 청불영화의 코미디,동화지만 청불입니다
성장동화라고 하기에도 애매 청불로맨스라고 하기에도 애매,동화지만 청불입니다
박지현 배우의 팔색조 매력에 정상적인 판단불가 매력있는 신인 배우들과 모든걸 흡수시키는 동일이 형님 조합은 괜찮다,동화지만 청불입니다
유쾌와 유치 당돌과 당혹은 한 글자 차이,동화지만 청불입니다
성인용 코미디로서 즐거운 영화,동화지만 청불입니다
이렇게 다루면 안 될 주제를 다루고 있지만 코미디에는 충실했다,동화지만 청불입니다
동화라 해도 영 유치하고 청불이지만 안 야합니다,동화지만 청불입니다
가볍고 편하게,동화지만 청불입니다
글쓰기 전 상대방 동의는 받았나요,동화지만 청불입니다
코미디지만 안 웃깁니다,동화지만 청불입니다
사회가 정의내린 본인에 대한 재정의 혹여 관객들이 사색에 빠지지 않도록 무거운 담론들을 가볍게 풀어냈다,동화지만 청불입니다
평소 부정했던 분야에서 오히려 인생이 만개할 때 자괴감과 희열감이 한셋트로 찾아오는 민망함 그래도 만개했다며 되도 않는 위로를 하는 우리네 인생,동화지만 청불입니다
박지현배우 예쁨 가볍게 보면 딱좋다,동화지만 청불입니다
가볍게 보는 영화지만 단단 하지 못하다,동화지만 청불입니다
투잡뛰는 발칙한 음란마귀들 이 영화의 문제는 따로 있어요,동화지만 청불입니다
박지현 배우가 아니였다면,동화지만 청불입니다
발칙포장 이지만 동화입니다 야게 야게,동화지만 청불입니다
소재는 살았지만 나머지가 죽었습니다 성인물 담론이 필요한 시점 년 전 영화 째째한 로맨스 가 더 세련됨,동화지만 청불입니다
스토리가 너무 뚝뚝 끊김 여자배우들 연기 최고였음,동화지만 청불입니다
급 감성을 제대로 살리지 못한 청불인데 동화같은 영화,동화지만 청불입니다
성소공주와 흔남 둘 악덕 사장에 권선 징악 아는 맛,동화지만 청불입니다
상황은 있는데 디테일이 없어서 숫총각이 쎅쓰에 대해서 썰푸는 것 같음,동화지만 청불입니다
원작자한테 허락은 받고 제작한건지 궁금한데 해결은 하셨나,동화지만 청불입니다
어른동화 지우지 못한 원작자의 흔적 필요 이상으로 삽입한 외설 로코에서 다시 만나고픈 박지현의 러블리함,동화지만 청불입니다
진부한 서사와 연출이고 과도한 캐릭터지만 차라리 컨셉을 더 살려서 드라마로 갔으면 차라리 나을 성동일 감초역과 몇몇 배우들이 괜찮았지만 그 뿐,동화지만 청불입니다
박지현 배우의 차기작은 로코물 여주이길 기원하게 만든다,동화지만 청불입니다
흥미롭게 펼쳐놓고 냅다 깽판쳐버리기,동화지만 청불입니다
박지현만 보인다 추가로 최시원으로 장국영을 따라해보고 싶었지만 잘 안 된 것 같다,동화지만 청불입니다
스스로 다 가리면서 무의미함을 어필,동화지만 청불입니다
그냥 예상했던 아는 맛,동화지만 청불입니다
