review,name
시사회 보고 왔는데 원작을 존중하며 한국 작품만의 매력이 느껴져서 재관람하려고 합니다 음악이 좋은 영화라서 사운드 좋은관에서 관람 추천드립니다 배우들 케미도 귀여워요,말할 수 없는 비밀
사랑의 타이밍이 어긋나면 끝나기 마련인데 이를 잇는다는 게 판타지,말할 수 없는 비밀
시사회로 먼저 보고 왔습니다 사랑은 타이밍,말할 수 없는 비밀
첫사랑 기억을 소환하는 영화네요 원작을 훼손하지 않으면서 한국적으로 잘 풀어냈고 엔딩이 더 개연성이 있어서 좋았습니다,말할 수 없는 비밀
원작의반전을잊지못합니다 빨리보고싶어요,말할 수 없는 비밀
원작을 너무감동적으로봐서 리메이크 너무기대됩니다,말할 수 없는 비밀
도경수가 연주하는 말할 수 없는 비밀 플레이 버튼 고장 각 무한 재생 확정 극장에서 회 차 하실거죠,말할 수 없는 비밀
원작을 모르고 봤어서 재밌는 반전이었고 그시절 감성이 느껴져서 좋았다,말할 수 없는 비밀
도경수와 피아노 너무 기대됩니다,말할 수 없는 비밀
년전부터 기다렸는데 드디어 개봉이라니 개봉일만 오매불망 기다렸습니다 원작 너무 재밌게 봤는데 어떻게 리메이크 해서 나올지 너 무 기대되요 얼른 보고싶어요,말할 수 없는 비밀
원작 모르고 봐도 볼만해요 원진아 배우님 연기 고점 갱신이네요,말할 수 없는 비밀
사랑하고싶어지는 영화,말할 수 없는 비밀
재밌게 봤어요 잔잔한데 음악도 좋고 코믹한 부분도 있고 리메이크라 원작을 크게 벗어나진 않았지만 배우들이 달라지니 새롭네요,말할 수 없는 비밀
비밀이 밝혀지고 난 뒤 급재밌어짐 원작을 훼손하지 않고 오리지널 이야기를 만든 것 좋습니다,말할 수 없는 비밀
전설의 명작을 한국식으로 잘 리메이크해서 재탄생한 영화,말할 수 없는 비밀
오랜만에 몽글몽글한 멜로 영화 노래가 기억에 남음 연출은 다소 아쉬운 부분이 있지만 배우들 연기로 커버 가능,말할 수 없는 비밀
원작을 보지 않았다 그래서인지 사람들이 준 평점이 조금 낮은게 이해가 잘 되지 않았고 내 기준으로는 오랜만에 돈주고 영화보는 값어치를 한다고 생각이들었다,말할 수 없는 비밀
도경수가 사랑에 빠진 한 소년을 너무 잘 표현함 보는 내내 미소가 지어짐,말할 수 없는 비밀
음악과 멜로의 조합은 역시나 강력했다 특히 주인공의 절대적인 감정선이 더욱 마음을 흔들었다 나름 웃긴 부분도 적절히 들어가 있어서 볼 만 했다,말할 수 없는 비밀
역시 멜로의 개연성은 얼굴이다,말할 수 없는 비밀
오래 기다린만큼 많이 설레는 작품 빨리 보고싶다 생각했는데 월 일 개봉 피아노 배틀씬 두근두근,말할 수 없는 비밀
너무너무 기대되네요 영화관만 번 가지 않을까 몰라요 그냥 가서 계속 볼래요 어서 빨리 개봉됐으면 도경수님과 원진아님 신예은님의 케미 기대됩니다,말할 수 없는 비밀
달달한 첫사랑 로맨스 장르와 신비로운 타임슬립 판타지 장르의 소소한 콜라보,말할 수 없는 비밀
너무 좋아요 특히 도경수,말할 수 없는 비밀
원작만큼 재밌었어요 내일 또 볼 예정 아 서울에 가는김에 무대인사 보러 갑니다,말할 수 없는 비밀
재밌었어요,말할 수 없는 비밀
한국의 느낌대로 잘 살려낸것 같아서 좋았음 원작도 재밌지만 리메이크는 리메이크대로 볼만한 느낌,말할 수 없는 비밀
이정도면 잘된 리메이크라 생각됨,말할 수 없는 비밀
개봉첫날 첫조조로 봤습니다 영상미 좋고 배우들의 연기 그리고 케미가 참 좋아요 보고도 여운이 남아서 다시보러가야겠어요 원작보다 밝고 신선합니다 극장에서 보시길,말할 수 없는 비밀
분동안 힐링한 눈과 귀 무난한 전개방식과 아쉬운 피아노 배틀,말할 수 없는 비밀
애절함은 사라졌지만 설레임은 그대로,말할 수 없는 비밀
원작이 가진 이야기를 다 알고 보는건 역시 힘들다,말할 수 없는 비밀
계륜미가 없어도 볼만했다,말할 수 없는 비밀
