review,name
연출 연기 영상미 음악 모두 좋습니다 요즘 따뜻하고 아름다운 드라마 찾기 어려운네 모텔 캘리포니아가 딱 그런 드라마인거 같아요,모텔 캘리포니아
연기구멍 없음 연출 오스트 좋음 눈호강귀호강 드라마,모텔 캘리포니아
너무재밌어요,모텔 캘리포니아
원작보다 훨씬 잼나고 빠른전개 몰입감 최고 현실성 있는 들마에 남주여주 첫사랑 앓이 시작 설레고 시원하고 뭉클함이 더하게 찰떡 다음편이 너무 흥미진진 기대만땅,모텔 캘리포니아
남녀 주인공이 참 예쁘네,모텔 캘리포니아
모든 캐릭터가 살아있다,모텔 캘리포니아
인생은 혼자 보다는 서로 도움이 필요하다고 느낄 세상사는 이야기 따뜻한 느낌 재미있고 울컥하기도 화나기도 응원하기도 암튼 꼭 봐야할 들마 첫사랑 순수커플 배우들연기도 빈틈없음,모텔 캘리포니아
갓벽 좋은 연기 괜찮은 연출,모텔 캘리포니아
대본과 연출 배우 틈이 없어요 모두 완벽함,모텔 캘리포니아
드라마 연출이 이렇게 중요합니다 아무리 좋은배우 각본이라도 연출이 이상하면 보기 힘들죠 이 드라마는 영상미 연출 음악 뭐하나 빠지는게 없네요 찾던 드라마 입니다,모텔 캘리포니아
오랜만에 재밌는 작품인데,모텔 캘리포니아
재밌어요 진짜 순애보 잔잔 감동 사이다도,모텔 캘리포니아
요즘 이런 드라마 찾기 쉽지 않은데 오랜만에 아련한 드라마 보니까 좋네요,모텔 캘리포니아
현재삶에서 있을수 있는 아픔 고통 연기로 잘보고 있어요 세영배우 늘감사,모텔 캘리포니아
음악 영상 연기 다 좋아요 오랜만에 설레이고 기다려지는 드라마입니다 그리고 제 마음을 어루만져주는 그런 느낌이 드는 드라마네요,모텔 캘리포니아
새롭게 변신한 개사이다 캐릭터 지강희 이세영 연천이다,모텔 캘리포니아
간만에 재미있는 드라마 나옴 강추합니다 이세영나인우연기도좋고 연출도 세련되어 눈이 호강합니다,모텔 캘리포니아
앞으로가 더 기대되는 드라마,모텔 캘리포니아
몰입이 잘되고 동화같은 감성의 화면이 매력적,모텔 캘리포니아
역시 믿보배 이세영,모텔 캘리포니아
연기 연출 서사 너무 좋아요 틀에 박힌 느낌이 아니라서 더 좋으네요,모텔 캘리포니아
갈수록 재미있음,모텔 캘리포니아
진짜 잘만든 드라마 연기연출음악 다 좋아요,모텔 캘리포니아
최민수의 자애롭고 편안한 아버지의 역할이 인상적이다,모텔 캘리포니아
이기적인 사랑 헌신적인 사랑 사랑은 평등하지 않다,모텔 캘리포니아
이세영이랑 나인우 캐미가 좋네 특히 이세영 연기하는거 첨봤는데 사랑스러운 캐릭터네 재밌게 보고있다 좀 유치하긴한더 웹툰이라 어쩔수 없나봐,모텔 캘리포니아
쏘쏘 너무 이쁘게만 연출하려고하는 듯 원작을 모르는 채로 보니 이해가 안되는 부분이 있지만 볼만함,모텔 캘리포니아
스토리 연출 다 완벽해서 볼맛 나는데 왜 안뜨는지 모르겠는 드라마 유명해져라,모텔 캘리포니아
