review,name
대한민국 최고의 스토리텔러가 디즈니의 자본력을 만났을 때,무빙
조금 다르고 특별할 뿐이야,무빙
한국도 엑스맨 같은거 만들 수 있었어,무빙
스토리 연출 뭐 하나 빠지는 데가 없다 한번만 봐서는 아쉬운 드라마 차 정주행해야만 한다,무빙
나에게는 어떤 능력이 좋을까나,무빙
한국형 히어로물이 드디어 성공하는 것 같아서 기쁘다 그 시작이 무빙이라 원작팬으로서 너무 좋음 각색을 원작자인 강풀님이 해주신게 신의 한수 배우들의 연기도 맘에 든다,무빙
드디어 강풀 원작을 실사화에 성공했다 한국판 히어로물 연기 액션 모든게 완벽하다,무빙
이틀만에 정주행 완료 넘 재밌게 봤다,무빙
웹툰을 보지 않고 봤기에 소재가 더 흥미롭게 느껴졌고 각 역할별 스토리도 잘 풀어나갔던 것 같다 배우들이 각자의 역할을 너무 잘 소화한 듯 귀여운 봉석이,무빙
풋풋한 청춘물에 초능력이 결합해 멋진 스파이물이 탄생했다 훌륭한 원작을 도 아깝지 않게 만들어준 작품,무빙
잘 못봤던 장면도 있었지만 그래도 대체적으로 있으면 흥미로웠겠다라는 캐릭터들 재밌었다,무빙
화를 보면 이것이 능력자를 다루는 것인지 청춘 하이틴 로맨스인지 의심이 간다,무빙
성공적인 퓨전 한식 뷔페 느낌 색다른데 익숙하고 심지어 집는 것마다 맛있다,무빙
액션을 안 좋아하는데도 스토리가 탄탄한 드라마였어요,무빙
신나게 놀이공원에 갔는데 타고싶던 놀이기구 두개타고 나니 나머지는 전부 고장수리중,무빙
그전에 나왔던 초능력물과는 다른 확실한 캐릭터들의 개성 지루하지않은 스토리라인 자연스럽게 작품에 녹아있는 떡밥 배우들의 열연까지 지금까지 나왔던 초능력물중에 제일 완벽한작품,무빙
뚠빵한 봉석이의 귀여움에 화동안 조련당하다가 두식미현한테 화부터 조져지는 중 천재 스토리텔러 강풀이 마무리까지 잘했을거라 믿어의심치않는다 몇년 통틀어 최고의 드라마,무빙
끝까지 몰입해서 봤네요 어린시절 미드 히어로즈 느낌 오랫만에 느꼈어요 원작이 어땠는지 모르겠지만 배우들 다 매력있었고 액션도 너무 시원시원했고 쫓으러 가는 장면 와아,무빙
솔직히 라인업도 그렇고 내용도 그렇고 대체적으로 마음에 들었고 뭔가 처음 보는 분들도 몰입도 하나는 최고가 아닐까 생각듭니다,무빙
국내에서 보기 힘든 상당한 수준의 액션과 로 무장하였지만 관심없는 과거 얘기만 주구장창 봐야 하는 구간은 정말 최악이다 과거 얘기라도 재미만 있으면 되겠지만 전혀 그렇지 않다,무빙
매주 오글거리고 어색하지만 빠져들 수 밖에,무빙
어색한 특수효과만큼 설득력 없는 구닥다리 스토리텔링 강풀 만화는 작화가 별로여도 재미는 있었는데 드라마는 특효 연출 스토리텔링 다 별로임 만화도 다시 보면 노잼이려나,무빙
봉석이가 울 때 나도 울었음 엄마는 봉석이를 위해 한 일이지만 봉석이가 그렇게 생각했다고 생각하니 한효주한테 이입이 되서 내가 다 봉석이한테 미안해짐,무빙
디지니 돈잘썼다 그래 앞으로도 한국에 팍팍써줘라 우리가 잘만들잖아,무빙
이거 왜 나옴,무빙
화까지 완료 학교 에서 좀 끌지만 날 가져 화까지 완료 이 분위기 잘 이어가면 명작,무빙
명작입니다 꼭보세요 해외애서도 호평 일색입니다,무빙
