review,name
범죄도시,범죄도시4
카레에서 짜장으로 바뀌면 뭐하나 이미 아는 맛인데,범죄도시4
차라리 김무열 단독 빌런을 하지 그랬어,범죄도시4
신기하게 같은 느낌인데 새롭다 다만 너무 초심만 지키는 느낌 슬슬 흥미를 잃을지도,범죄도시4
이제는 맛없는 아는 맛,범죄도시4
블라인드 시사회로 봤어요 편도 기대하셔도 됩니다 아직 출시까지 일년정도 남아서 스포는 못해드려요,범죄도시4
가 그립다 더는 볼 수 없는 걸까,범죄도시4
우리의 장이수가 다 했다 개인적으로 편의 빌런보다 훨 인상적이었던 편의 빌런,범죄도시4
액션에 더 신경을 쓴 부분이 만족스러웠음 악을 응징하는데서 오는 카타르시스란 다 아는 맛이지만 여전히 맛있음,범죄도시4
지금까지 나온 시즌중엔 제일 아쉬웠다 급하게 작업하고 빠르게 편집하다보니 놓친게 많은 것 같은 느낌 그리고 자꾸만 웃기려고 노리고 치는 듯한 대사에 웃음을 잃게 된,범죄도시4
김무열 섹시해,범죄도시4
더 롱런하려면 변화가 필요한 시리즈이긴 하다,범죄도시4
갈수록 부실해지는 데는 이유가 있지 않을까,범죄도시4
월 일 블라인드 미완성본 시사회를 통해 관람,범죄도시4
범도가 나랑은 맞지않는구나만 다시금 깨닫고온,범죄도시4
이제그만 범죄도시 보내주자 갈수록 노잼이다 편은 정말 최고 였고 대작이였다,범죄도시4
범죄도시가 범죄도시 했다,범죄도시4
편보다 액션이나 빌런 매력은 뛰어나지만 스토리가 너무 늘어지는 느낌이들고 필요 없는 인물이 많은것 같다,범죄도시4
현실을 기반한 매력 그 나머지는 공산품,범죄도시4
빌런이 너무 섹시하잖아 초반 복근에 시선강탈 마석도 장이수 콤비 웃음지뢰 범도 에서도 역시나 주옥같은 명대사들 쏟아짐 천만 무난히 돌파하겠어요,범죄도시4
그냥 볼만한 액션물이 되어버렸다,범죄도시4
세번은 안당하지 라고 생각했던 한달전으로 돌아가고싶다,범죄도시4
범죄도시 편 재밌다고 하는 사람들 많았는데 나는 편이 제일 재밌었고 가족들과 다같이 보기 좋았음 편에서 느낀게 액션 연출 유머 놓친게 없었음,범죄도시4
도 진짜 재밌어서 박장대소 하면서 봤는데 시사회때보고 뒤집어 졌다 또 보러가야지 범죄도시 화이팅,범죄도시4
어제 시사회로 보고왔는데 역시 잘끓인 김치찌개는 최고다 또 생각나네 먹고 싶어서,범죄도시4
범도 보다는 재밌다,범죄도시4
호쾌하다 몰입도가 높다 킬링타임용으로 좋다 중간중간 전편의 패러디도 좋다,범죄도시4
이제 그만 멈춰야 한다,범죄도시4
시리즈가 상하기전까진 점 아직 유통기한남아있다,범죄도시4
익숙한 맛이지만 마석도의 보석함은 항상 흥미롭다,범죄도시4
마동석표 액션 언제봐도 통쾌하고 재밌었습니다 김무열배우님은 조금더 잔인하게 나왔으면하는 아쉬움이 있습니다 박지환 배우님은 진짜 거의 범죄도시 의 주인공이였습니다,범죄도시4
아직까진 맛있는 사골국,범죄도시4
재미없었어 메가박스에서 조조로 봤는데 아무리 칼질을 해도 긴장감도 없고 마석두는 무적인거고,범죄도시4
매번 비슷한 이야기로 작품이 전개되는데도 계속 재밌을 수 있다니 언제까지 이럴 수 있나보자 편까지 나온다고,범죄도시4
분노의 질주와 같이 그 시리즈 이기에 볼 가치가 있는 영화,범죄도시4
범도 시리즈는 이 미친남성들이 너덜너덜하게 털리는 모습을 볼 수 있는 영화 시리즈라고 생각합니다,범죄도시4
성공적인 범죄도시만의 흥행공식 위에 마석도와 장이수만이 빛을 발하고 그 외에 모든 것들이 퇴행하다,범죄도시4
뭐 무슨 맛인지 아시죠,범죄도시4
매번 똑같은 스토리 똑같은 액션 이거 진짜 편까지 만들 생각인가 스토리가 빌런 이름만 바뀌고 다 똑같음 근데 재미도 없어 액션도 시원한건지 모르겠음,범죄도시4
시사회 찐 관람 후기,범죄도시4
마동석 범죄도시 에서는 마이크 타이슨 같은 느낌이였는데 범죄도시 에서는 조지 포먼 같은 느낌이 나서 시리즈 마다 다른 복싱 기술 구사하는 마동석 보는 재미가 있음,범죄도시4
기대보다 더 찐한 액션 섹쉬한 빌런 김무열 마동석은 마동석했고 장이수는 장이수했다,범죄도시4
재밌다 편에서 실망을 했기 때문에 더 이를 간듯한 코믹액션,범죄도시4
보다 낫겠지 황야에서 감독과 마동석 조합이 기대를 충분히 낮춰서인지 적당히 즐기기에 이정도만한 영화가 있나 싶다 이런 한국영화의 시장상황은 차치하더라도,범죄도시4
시사회를 통해 봤습니다 강력한 마석도와 살인병기 백창기의 대결 돌아온 장이수의 코믹함 얄미운 장동철의 연기가 돋보입니다 역대급 재밌습니다,범죄도시4
역시 기대하는 웃음과 시원한 사이다를 안겨줌 게다가 이번에는 액션이 진짜 너무 좋아서 시리즈 중에 제일 좋았음,범죄도시4
기대를 저버리지 않는 시리즈물 슬슬 더워지는데 시원한 한방 강력해진 빌런 돌아온 장이수까지 아는 맛이지만 아는 맛이 무섭지,범죄도시4
시사회로 보길 잘했다 다른 시리즈물들과는 확연히 다르게 점점 진화하는 깊은맛 최고의 프랜차이즈,범죄도시4
월 코엑스 시사회 관람 일단 첫소감은 와 이걸 또 해내네 솔직히 번째니까 기대 안했는데 괜한 걱정이었네요 개봉하고 나면 한번 더 볼 예정 괜찮을까요,범죄도시4
어제 시사회 다녀왔습니다 이번에도 범죄도시 특유의 사이다 액션과 유머코드를 시원하게 즐기다 보니 어느새 엔딩 크레딧 미국에 존윅 이 있다면 한국은 범죄도시죠,범죄도시4
