review,name
선과 악의 경계가 무너지고 명쾌한 해답을 건내기 보단 넌지시 질문을 던진다,베테랑 2
범죄도시들보다는 통쾌함이 약하고 그렇다고 웃긴포인트를 기가막히게 잡아내는 것도 아니면서 디플에서 먼저 공개된 비질란테와 놀라울 정도로 유사한 이 영화를 어쩌면 좋을까,베테랑 2
류감독 나이들었나 감을 잃었네 스토리 개연성도 없고 그저그런 액션 추석 맞춰 개봉할라고 서둘럿나 보는내내 뭐지 이런기분,베테랑 2
정해인 연기 진짜 잘한다 섬뜩하게 웃는 연기 대박인듯,베테랑 2
영화보는 내내 하품 완성도면에서 편이 훨씬 더 재밌음 다 보고 나오는데 갑자기 영화 군함도가 생각이 나는 이유는 뭘까 싸우고 부수고 뭔가 열심히 한거는 같은데,베테랑 2
류승완 감독이 속편을 허투루 만들지 않겠다는 의지가 초반 분만에 읽혀진다,베테랑 2
스토리 설정에 따른 설명이 너무 없고 범죄도시 시리즈를 신경 쓴 티가 난다 년을 기다린 베테랑 는 기대 이하 에 비해 너무나도 재미가 없었다,베테랑 2
계단에서 굴러떨어질때 잔인한 장면이 나왔지만 몰입감 때문에 지루하지않고 간만에 메가박스 가서 범죄도시 이후로 재밌게 보고왔습니다 점 드려요,베테랑 2
빌런 알고봐도 재밌었네요 아침조조로 봤는뎌 간만에 잼나게봤습니다,베테랑 2
형사 황정민과 아빠 류승민 그리고 해치에 관한 영화,베테랑 2
역시 베테랑 진짜 베테랑 같은 영화였어요 내용도 시원하고 액션 장면도 시원하고 좋았어요,베테랑 2
편보다 임팩이 약했다는 평이 있으나 평과 질문과 답이 다른 영화 현사회에 문제점을 제대로 짚은 영화 연휴에 가족들과 황정인 정해인 믿고봤습니다 연기쵝오 정해인의 재발견,베테랑 2
가볍게 볼만한 킬링타임용 영화 추석시즌에 맞춰서 잘 나온듯,베테랑 2
더 나아진 액션씬 액션에서 들리는 타격감의 뛰어난 음향 전편보다 훨씬 나아진 스토리 구성 쿠키의 반란,베테랑 2
정말 머리찍고 진심으로 말하는데 보지마세요 내역대급 최악 영화였음 누가 공짜 보여 줘도 보지마세요 시간 아까워요,베테랑 2
황정민 정해인 액션 자연스러워요 좋아요 구걸하는 꾼들을 향한 풍자도 있고 가족애도 있고 재밌게 봤어요,베테랑 2
비 내리는 액션신이 너무 좋았습니다,베테랑 2
과장된 현실의 문제 빌런의 빌드업을 결말에서 스스로 망가뜨린다,베테랑 2
액션 너무 멋지네요 정신없이 재미 있게 봤어요 리뷰에서 쿠키영상 보래서 기다렸는데 다들 나가시는데 기다렸더니 나오더라고요 동네 영화관에서 봤는데 좋은 영화관서 다시 볼 예정,베테랑 2
액션에 한번 끄덕이고 메시지에 두번 끄덕이지만 영화의 완성도에는 갸우뚱함만 남는다,베테랑 2
올해 최악의 영화 감독 내리막의 정점을 찍은 영화 의미없는 사회적 이슈소재 년대에나 통할 개그코드 억지로 껴넣은 편 명대사 모음집 필요없는 팀원 서사없는 악당,베테랑 2
이제 그만 시리즈 접어라 내용도 없고 구성도 엉성해서 졸러 재미 없다 이러니 영화가 망하지 괜히 사람들이 로 넘어가겠니 이따위 망작 영화들 때문이지,베테랑 2
배우들 액션신 힘들게 찍은것같아보여서 짠한 느낌,베테랑 2
해인님 나온다해서 보게 됬고 역시나 해인님의 연기 액션 연기변신이 돋보인 작품입니다 해인님만 보였고 독보적 연기와 액션에 소름 돋았습니다,베테랑 2
액션은 좋아졌지만 케케묵은 정의론은 지겹다,베테랑 2
호불호가 강해서 생각없다가 심야로 봤는데 너무 재밌게 봤어여 정해인눈빛과 생각지도 못한 출연진 보는 재미까지 시간가는줄 모르고 봤네요,베테랑 2
정해인 눈깔연기에 시간가는지 모르고 봄 다크하지만 메세지가있고 감독의 고민이 이해됨,베테랑 2
안 보면 후회함,베테랑 2
정해인이 캐리했따 재밌었어요,베테랑 2
정해인의 연기력짱 남산에서의 액션을 내가 본 것중 최고였어요,베테랑 2
과하지 않음서 적당한 이런 액션 영화면 번도 더 가서 볼거 같아요,베테랑 2
말하고자 한 바가 뭔지는 알겠으나 이야기를 풀어가는 과정에서 몰입도가 떨어진다 사회 현실 꼬집은 것은 좋았음,베테랑 2
옆에 아저씨 코골며 볼 정도로 스토리도 뻔하고 내용도 안맞고 시나리오가 개 엉성한 추석에 개봉하려고 대충만든 영화같아요,베테랑 2
비질란테랑 범도 시리즈가 느껴짐,베테랑 2
사적제재와 온갖 요즘세상에 군림하는 사건들속에서 감독의 메세지에 스며든다 보다 재밌었음,베테랑 2
전체 스토리가 예상됐지만 몰입감있는 연출로 지루하지는 않았다,베테랑 2
악을 처단하는 악은 결국 위선이다,베테랑 2
별로예요 황정민 연기가 이제는 식상하고 무언가 어색한 느낌이었습니다 하지만 정해인의 연기는 좋았네요 뻔한 스토리에 억지스러운 장면도 많아요,베테랑 2
더 무뎌지고 더 평이해졌다 그래도 시장에 이만한 영화가 없다,베테랑 2
이렇게까지 욕먹을 영환가,베테랑 2
류승완적인 미학과 철학이 담긴 영화 친구랑 외마디 비명을 지르면서도 촛점 하나 흐트리지 않고 끝까지 재밌게 봤네요 사람이든 영화든 진짜는 강하다,베테랑 2
비질란테 미만 범죄도시처럼 드립칠려다사 실패,베테랑 2
솔직히 내용은 뻔했는데 정해인 때문에 재밌었다 진짜 정해인 연기력 얼굴이 레전드였음,베테랑 2
재미나 스토리의 개연성 등은 아쉽지만 최근에 대두되고 있는 사회문제에 대해 질문을 던지는 거 같다 물론 그걸 우리가 베테랑에서 기대하는 건 아니였던 거 같다,베테랑 2
솔직히 이런 영화는 망해야지 명성따위로 성공하는건 아닌듯 싶네요 안보현은 왜 나온건지 아시는분,베테랑 2
베테랑 에 이어 베테랑 도 재밋게 봤습니다 추천합니다 쌍천만 가자아,베테랑 2
비질란테가 바로 생각나는 소재 개그포인트가 없어 보는 내내 정색함 사이다 포인트도 없고 심리극을 의도하다가 실패한 작품 같음 범죄도시가 얼마나 갓영화인지 새삼 느끼게 해줌,베테랑 2
시즌 에 못지 않게 재밌었다 캐릭터부분에선 확실이 더 재밌었지만 전체적인 스토리구성은 조금 아쉬운듯 하다,베테랑 2
안보현 눈빛에 녹아요 재미있었음,베테랑 2
민망할 정도다 스토리 빈약 오버연기 불편 에피소드 영끌 추석연휴 가장 후회한 선택,베테랑 2
반가웠지만 많은 부분이 아쉽다,베테랑 2
시간많고 돈많으신 분만 보세요 보는 내내 영화관을 뛰쳐나가고 싶었는데 만오천원짜리 시간이라 참았어요,베테랑 2
매스미디어의 이면을 들추고 표면적으로 드러난 매체를 접하며 비관하는 질문에 대한 영화만의 대답,베테랑 2
남주혁 나오는 비질란테 따라했네 웃기지도 않고 내용도별로다 같이본사람도 재미없다네요,베테랑 2
솔직히 예전에 나왔다면 영화가 다 어디서 본거 같아 하지만 남산 추격신은 간만에 와 하면서봄,베테랑 2
류승완 감독이 감을 살짝 잃은 것 같다,베테랑 2
시원하게 사이다 한 번 보여줄 것을 기대하며,베테랑 2
