review,name
드라마계에선 새로운 장르라 일단 기대하면서 시작해봅니다,별들에게 물어봐
작가와 연출 배우가 전작의 의리로 민난것 같은데 우주를 소재로 너무 잘못된 선택을 한 게 아닐까 크게 후회할것이다,별들에게 물어봐
신선하긴한데 이제 회 회는 터트려줘야 될듯,별들에게 물어봐
대사나 연출이 산만함 다만 우주 관련 씬은 그럴싸했음,별들에게 물어봐
시간이 아깝다,별들에게 물어봐
기대됩니다,별들에게 물어봐
남주에 비해 여주가 유난히 나이들어 보여서 몰입이 깨진다,별들에게 물어봐
공효진 배우의 드라마 흥행불패 신화가 깨질수도,별들에게 물어봐
현재까지는 너무 과한 기대를 했다고 생각이 드는 시점이다,별들에게 물어봐
올굿 어떤 사람들은 자연스러움을 산만함으로 혼동하는 경우가 있는듯 하다 그 자연스러움에 늘 한표 소재 연출 촬영 다 새롭다 우주 시트콤이 가능한거였구나,별들에게 물어봐
재미 있어요 앞으로 정주행하고 봐야 겠어요 올만에 본방사수 해볼려고요,별들에게 물어봐
대 늙달이들의 우주로맨스라니 에휴,별들에게 물어봐
쿨해보이고 싶어서 무리수 농담 던지는 부장님같은 드라마,별들에게 물어봐
화 초반부터 스토리 이상한데 싶었는데 점점 이상함 공감안됨,별들에게 물어봐
솔직히 회는 어찌어찌 어 어 이럼서 봤는데 회부터 놨어요,별들에게 물어봐
신선하긴 한데 딱히 재미는 없는,별들에게 물어봐
우주가 배경이면 뭘 하나 눈쌀찌푸려지는 대사들이 너무 많은데,별들에게 물어봐
스토리 이게 실화임 화 중간보다 일단 포기,별들에게 물어봐
억에 이배우들 가지고 찍은 공상과학 시트콤 왜 도대체 왜,별들에게 물어봐
애매한 망드가 아니라 그냥 망드임 배우들 아니었으면 안봤을 드라마,별들에게 물어봐
단 화만에 할 말을 잃게 만들었습니다 년 의 우주망작 드라마 다크홀의 계보를 잇는 작품이 년 채 되지 않아 등장하였습니다,별들에게 물어봐
우주선이라는 한정된 공간과 지구라는 한정된 공간을 대비시키며 두축으로 스토리를 이어나간다 두주인공이 우주선에 있으니 한쪽 축으로 무게가 기운다 다만 배우들의 연기로 커버한다,별들에게 물어봐
노잼임 공효진 너무 올드하고 이민호 연기도 한계가 있음,별들에게 물어봐
아쉽다 이민호가 돌아온것은 반가웠는데 공효진은 역시 연기잘인데 계속 볼 수는 없다,별들에게 물어봐
가 의외로 자연스러워서 잘 봤습니다 연기들은 원래도 잘 하시고요,별들에게 물어봐
공간의 제약이 주는 답답함이란 한계가 신선한 스토리와 배경을 뛰어넘기엔 버거워 보인다,별들에게 물어봐
좋은 소재와 신선함이 있지만 너무 짜침 화가 남은 것에 놀라움 하지만 끝까지 볼 예정 얼마나 더 사랑을 할지 궁금,별들에게 물어봐
화 보다가 중간에 탈주 했다 너무 재미없,별들에게 물어봐
돈은 많이들인거 같음 각본이랑 연출이 말아먹은,별들에게 물어봐
무슨 내용이죠 공효진배우님때문에 보고있긴한데,별들에게 물어봐
한마디로 욕 나오게 만든 올해의 최악의 들마 이딴 삼류 쓰레기 로맨스에 돈을 쓴 제작사가 제 정신이 아닌것 같음 저질 연출에 개연성 없고 형편없는 스토리라인 미스캐스팅,별들에게 물어봐
시시콜콜하다 이젠,별들에게 물어봐
내용 기대했는데 갑자기 산으로 가는 느낌은 아직 초반이라 그런거나,별들에게 물어봐
출연자와소재가 좋아보여 시작했는데 진짜 소재와 출연자만 좋았다 화 중간부터 뭐지 싶다가 마지막까지 바로 보고 있는 영상 리스트에서 삭제했음,별들에게 물어봐
기대보다 실망,별들에게 물어봐
화땐 로코를 감안해서 재미있었고 화땐 처참했으며 화땐 진전이 있기를 바람 그놈의 유전자,별들에게 물어봐
