review,name
시간낭비 상당햐 오글오글 예측가능 뻔한 스토리,보고타: 마지막 기회의 땅
생각보다 볼만한 그런 영화 하지만 마지막으로 갈수록 굳이 싶은 내용임,보고타: 마지막 기회의 땅
년대 후반 한국 영화 시장은 마치 직전의 한국 같다는 걸 스스로 보여준다,보고타: 마지막 기회의 땅
부산국제영화제에서 보고타 미리보고 왔어용,보고타: 마지막 기회의 땅
시잘에 한국을 떠나 콜롬비아 보고타에 정착하려는 국희를 통해 한인들의 삶을 느와르적인 느낌으로 풀어가는 영화 이민사회에서 있을법한 이야기들 아무도 믿을수 없는 세상,보고타: 마지막 기회의 땅
장르의 변화를 꽤하다 치밀하지 못하여 와르르 무너지다,보고타: 마지막 기회의 땅
보고타,보고타: 마지막 기회의 땅
돈맛보다 더 무서운 건 불신의 맛,보고타: 마지막 기회의 땅
새해 첫 영화인데 선택을 잘못했다 영화 참 못 만들었다 해외까지 가서 찍었는데 이것 밖에 안되나,보고타: 마지막 기회의 땅
등급을 높혀서 좀더 찐하게 만들었다면 어땠을까 시사회,보고타: 마지막 기회의 땅
그 뜻을 정확히 파악하는 이에게 제공하는 기회의 땅,보고타: 마지막 기회의 땅
결국 그 기회는 누구를 위한 기회였나 원래부터 혼자였는지 아니면 모든 걸 무참히 짓밟고 난 결말이 혼자인 건지 모르겠다 꿈이 없는 이가 악을 쓰며 살아남으려 했을 때 벌어지는 일,보고타: 마지막 기회의 땅
때 이민간 한인들의 이야기에 음모 밀수를 우겨넣어 범죄물로 그럴싸하게 포장한다 하지만 이희준의 콧수염 분장만큼 싼마이한 이야기와 비주얼은 아싸라비아 콜롬비아 대사만큼 촌스럽다,보고타: 마지막 기회의 땅
뭉툭한 서사와 캐릭터로 어필하니 소재의 개성이 와르르,보고타: 마지막 기회의 땅
잔뜩 무게만 잡을 뿐,보고타: 마지막 기회의 땅
오랜만에 느끼는 참담함,보고타: 마지막 기회의 땅
음,보고타: 마지막 기회의 땅
보고타 마지막 기회의 땅에 자욱이 낀 허무함,보고타: 마지막 기회의 땅
뭘 말하고 싶은 영화인지 도통 모르겠다,보고타: 마지막 기회의 땅
보고타 마지막 기회의 땅 후기,보고타: 마지막 기회의 땅
동물의 세계어서 최극단인 먹이사슬을 잘 보여준다,보고타: 마지막 기회의 땅
독특한 소재와 콜롬비아 배경의 이국적인 장면들이 꽤 볼만했던 영화 역시 배우들 연기가 출중하니 보는 맛 가득했음 송중기한테 젤 잘 어울리는 캐릭터가 아니었나,보고타: 마지막 기회의 땅
년 새해 첫 최악의 영화 탄생 원두커피처럼 진하지 않고 밍밍한 망작,보고타: 마지막 기회의 땅
사투리 와 커피맛 만큼 진하지못해 덜그럭 덜그럭,보고타: 마지막 기회의 땅
어떤 캐릭터의 스토리를 전달하기엔 너무 부족하며 몰입조차 어려워 그냥 강 건너 불구경하다 영화관을 나온 느낌이다 이건 무슨 영화일까,보고타: 마지막 기회의 땅
이국 땅에서의 처절한 삶이라는 메시지는 잘 전달된 듯 초중반까지는 여러 이해관계가 섞이며 흥미로웠지만 중후반부로 가면서 힘이 좀 빠진 느낌 실력파 배우들이라 연기는 깔게 없다,보고타: 마지막 기회의 땅
년 내 최악의 영화 현재 날짜 월 일,보고타: 마지막 기회의 땅
콜롬비아에서 패딩을 밀수할 거라고 생각도 못했는데 소재가 너무 신박해서 재밌었어요 영상미도 너무 좋았고 무엇보다 배우들 연기에 몰입이 잘되서 재밌게 보고 왔습니다,보고타: 마지막 기회의 땅
개인적으로는 소재도 특이하고 재밌었어요 배우들 연기 너무 좋았,보고타: 마지막 기회의 땅
첨예하지 못한 스토리에 총성만 난무하여 깊이감이 떨어진다,보고타: 마지막 기회의 땅
쓸모없을 줄 알았는데 쓸데가 생겼네,보고타: 마지막 기회의 땅
좋던 싫던 보고 현타,보고타: 마지막 기회의 땅
뒤로 갈 수록 그들만의 갈등으로 가는 느낌,보고타: 마지막 기회의 땅
믿음없는 사람들이 모여서 벌이는 배신극 보고타는 잘못이 없고 사람들이 문제임 다들 성난 사람들만 나옴,보고타: 마지막 기회의 땅
평점 낮아서 기대 안 하고 보면 볼 만함 그치만 디게 루즈함,보고타: 마지막 기회의 땅
송중기의 다양한 캐릭터를 살리지 못한 어설픈 느와르,보고타: 마지막 기회의 땅
구역은 고사하고 구역도 힘들어보인다,보고타: 마지막 기회의 땅
너무 재밌게 봤어요 시대상과 잘 맞는 시나리오였던거 같아요 이국적인 풍경도 한몫했구요,보고타: 마지막 기회의 땅
콜롬비아의 영상미가 지루하지 않고 배우들의 연기력이 너무 좋다,보고타: 마지막 기회의 땅
기회란 무엇인가에 대해서 다시금 생각해 볼 수 있게 한 영화 해외에서 촬영해서 이국적인 풍경들과 특유의 영상미가 아름다워서 지루하지 않게 보게 된다,보고타: 마지막 기회의 땅
무한도전으로만 알았던 보고타를 제대로 알게 해준 영화 로케 영상미가 너무 예뻐요,보고타: 마지막 기회의 땅
빈 구석만 채우면 멋진 영화가 되었을텐데,보고타: 마지막 기회의 땅
별로 궁금하지 않은 망한집 외동아들의 콜롬비아 생존기,보고타: 마지막 기회의 땅
옷장사 느와르,보고타: 마지막 기회의 땅
