review,name
이 영화가 미친 이유를 가지 말씀드리겠습니다,서브스턴스
부위별로 나눠서 품평하고 오래되면 신선하지 않다고 버려진다면 인간은 한낱 고깃덩어리와 다를 바 없다,서브스턴스
찬란하고 기괴하며 역겨우면서도 아름다운 영화 씨발,서브스턴스
외모보다는내면의아름다움이중요하다,서브스턴스
미디어에 의해 극단적으로 요구되는 아름다움에 대한 잔혹하고도 슬픈 풍자,서브스턴스
영화 서브스턴스 뜻 정보 출연진 관람평점 줄거리 리뷰 결말 후기 스포 쿠키 외모지상주의를 신랄하게 비판하는 하드고어 영화추천,서브스턴스
몰입도 색감 너무 좋다 다만 후반부에 힘들다,서브스턴스
세련된 음악과 기괴한 바디호러만으로 채우기 급급한 불쾌감,서브스턴스
다 좋은데 마지막에 분수쇼는 좀,서브스턴스
자신의 모든 걸 싫어해 본 사람들에게 바치는 영화,서브스턴스
상영 내내 쉼없는 미친 영화 인정 서브스턴스 키노라이츠 시사 후기,서브스턴스
메시지는 약간은 진부할 수도 있지만 신선하고 도발적이며 그로테스크한 연출과 영상미만으로도 충분히 볼만한 작품,서브스턴스
마지막에 김건희의 말로가 나오는건 신의 한수였다,서브스턴스
너무나 감각적이라 힘들다,서브스턴스
감독나와 고어물이라고 미리 알려줬어야지 영화보고 알탕 끊는다 영화보다가 중간에 토할뻔 했다,서브스턴스
친절히 뇌뚜껑을 직접 열고 쑤셔 넣어주는 메시지,서브스턴스
나는 나를 사랑하는가,서브스턴스
이러한 소재로 이렇게 끌고 갈 감독이 몇이나 될까 그로테스크를 좋아하는 사람에게는 최고의 영화,서브스턴스
캐리의 재림,서브스턴스
선택 절제가 얼마나 중요한지와 지금의 나를 사랑하고 아껴야 한다는 메시지를 주는 충격적인 명작,서브스턴스
역하다 아니 사회의 시선이 역한걸지도,서브스턴스
미적 기준이 외부가 아니라 나에게서 비롯되어야 한다는 쉽지만 강렬한 메시지 흉측하고 기괴한 표현방식에는 주의가 필요하다,서브스턴스
엘리자베스와 수를 섞은 진정한 나 를 드러냈을 때 나오는 대중의 기괴한 반응,서브스턴스
가장 작은 것에서부터 가장 큰 것에서까지,서브스턴스
끝내 진다 영화적으로도 철학적으로도 끝내주는 쾌감뒤에 스믈스믈 올라오는 비정한 올드 앤 뉴 살과 탐욕 죽음 보다 못한 삶 이 극강의 연출로 펼쳐진다 캐리만큼 슬펐다,서브스턴스
난 왜 이 영화 슬프지,서브스턴스
보다가 등받이에 등을 떼고 본 영화가 너무 오랜만이었다 중간에 실소도 나오고 눈살도 찌푸러지고 어이없이 웃기도 하고 징그럽다가 아름답다가 모든 걸 다 느낀 영화,서브스턴스
자아를 망각한 또 다른 나의 청춘에 대한 집착,서브스턴스
후반부로 갈수록 고어물이 되어가지만 볼 만하고 무엇보다 전신성형을 했다는 데미무어가 주연을 하다보니 뭔가 더 개연성이 있어보인다랄까 그럭저럭 볼만함,서브스턴스
서브스턴스,서브스턴스
시각적인 만족도가 극강에 달하는 영화 연출이 예술적이다 데미무어 자신의 이야기처럼 연기해내주어 몰입도가 더 높아진다 뒤로 갈수록 상상력의 한계를 뛰어넘어 웃음이 터지는 취향저격,서브스턴스
과하다고 생각하면서도 납득이 가는 연출,서브스턴스
인간의 탐욕은 끝이 없다,서브스턴스
레전드 정신병원,서브스턴스
아름다움 스타에 대한 고정관념 을 가지고 집착을 하는 우리가 괴물,서브스턴스
크레이지하고 섹시하고 호러블하고 쇼킹하다 초반에 여체를 다양하게 보여주며 눈을 즐겁게 하지만 후반에 거의 고어물로 변한다 스마일 에서의 엔딩장면과 비슷하면서도 더 충격적,서브스턴스
외모집착정병을 바디호러로써 비판하는듯하다가 추에 대한 충격을 그 도구로 사용하는 순간 주제는 빛을 잃어버리고 급기야는 급 프릭쇼 몬스터 포르노가 되어버린다,서브스턴스
고어 기괴함 불쾌함이 연속으로 터지는 미친 대환장의 향연 맨 정신으로 절대 보면 안되는 올해 최고의 문제작,서브스턴스
성과 외모 젊음 등등 사회의 고착화된 생각 이미지를 향한 거침없는 풍자를 통해 본질 에 도달하는 충격적인 이미지의 향연과 에너지 배기 발화 폭발로 마무리되는 칵 퉤,서브스턴스
모든 것이 제 자리에 있다는 것을 논하기엔 우리 눈만으로는 부족할 수 있음을,서브스턴스
다음이 없을 내 아름다운 삶을 위해 부디 나를 조금 더 사랑하자,서브스턴스
재미는 있었는데 너무 힘들었어요,서브스턴스
데미무어의 말년이여서 시도할 수 있는 과감한 시도의 괴작 소재는 신선했으나 결말까지 가는데에 브레이크가 없다,서브스턴스
광란의 토마토 축제 미를 향한 광적인 집착을 더욱 광적으로 묘사하는 영화,서브스턴스
불이 켜지고 오금이 저려서 잘 못 걸을 것 같은 영화가 있다 이 영화가 그렇다 여성 스타 의 흥망성쇠를 이렇게 표현해도 되나 싶을 정도로 끝까지 간다,서브스턴스
징그러운걸 못보는 분은 추천하지못한다 데미무어의 몸매감상은 할수있고 주제는 명확하나 너무 노골적으로 불쾌한게 많다,서브스턴스
왜 포스터에 이라고 적었는지 알겠다 근데 좀 뇌절이다 고어 못 보면 보지 말 것,서브스턴스
메시지가 강한 영화인건 맞는 것 같은데 내가 싫어하는 장르,서브스턴스
미친영화,서브스턴스
레퀴엠 에 존 카펜터 크리쳐 무비를 곁들인 느낌 프로듀서 하비 역 맡은 배우가 페어런트 트랩 의 아빠였다니 충격,서브스턴스
뭔지 알겠는데 보고나면 뭔가 찝찝하다 사운드도 한몫하지 않았나,서브스턴스
좋은 영화인건 알겠는데 내내 언제끝나나 기다리게 됨 후반부 가서는 작정했구나 싶었음 보기힘들어서 삼점,서브스턴스
이렇게까지 해야 하는 이유를 깨달으면 점을 안줄수가 없지,서브스턴스
외모지상주의와 알 수 없는 유리천장을 꼬집는 영화 외모지상주의를 비판하는 영화지만 나도 모르게 영화를 보며 배우들의 외모에 감탄하고 경악한다,서브스턴스
중반까지 괜찮았는데 후반에는 너무 메시지 전달에 치중해서 밸런스를 잃어버린,서브스턴스
와아아아아우 시간동안 싸대기 맞고 온 느낌 영화의 정체성에 대해 이해하고 싶지만 전 아직 많이 부족한가 봅니다 재미는 있으나 엄청 추천은 안할것 같은 끝으로 갈수록,서브스턴스
영화를 보는 내내 데미무어의 고통스러움이 고스란히 느껴지는 작품이었다 젊음이 무엇인지 외모가 무엇인지 관객에게 그 고통을 간접 체험하게 하면서 생각하게 하는 작품,서브스턴스
스탠리큐브릭 데이빗린치보단 데이빗 크로넨버그에 가까운 플라이와 익스텐션을 요즘 영화문법으로 풀다 음향만큼은 인정,서브스턴스
오히려 고어해서 메세지가 와닿는 것 같다,서브스턴스
전하려는 메시지는 확실하게 알수 있음 지루할틈 없이 중후반까지 전개 잘가다가 어 여기서 한발 더 나간다고 하는 지점부터 약간 뇌절좀 하는데 나쁘진 않음 시청은 주의,서브스턴스
