review,name
홍제동 화재사건을 과한 연기 없이 담담하게 풀어내서 더 마음이 아팠던 영화였습니다 영화가 끝나고도 생각이 많아지네요 이 영화가 소방관 처우 개선의 계기가 되었으면 합니다,소방관
너무 슬픕니다 소방관 화이팅,소방관
시사회로 미리 보았는데 소방관님들의 노고가 전달되는 감동적인 영화였습니다 대한민국 소방관님들 화이팅입니다,소방관
영화 소방관 무대인사 시사회 후기 올립니다,소방관
너무 화가나고 답답하고 먹먹하고 눈물이 멈추질 않았아요 제발 다시는 이런 일이 발생되지 않길 바랍니다 생명을 구하기위해 본인들의 목숨을 내던지는 분들입니다,소방관
영화적 완성도가 낮음 다큐로 만들었다면 좋았을듯함 유료관람 가치는 낮음,소방관
억지눈물을강요하지않고 담배한 영화여서좋았다 그러니자연스럽게 영화에녹여들었고 화재장면은 가아닌것처럼 너무리얼해서 메이킹을보고싶게만듬 다양성의영화가나와 좋음,소방관
장갑 에피소드는 진짜 있는 얘기를 찍은거 아닌가 행정에 진짜 분노가 끓는다 영화 내내 어찌나 눈물이 났는지,소방관
시사회로 미리 보았습니다 실화바탕이다보니 몰입감은 좋았습니다 처우가 많이 개선되었다곤 하지만 아직도 있는걸로 아는데 더 개선되길 바라고 흥하길 바랍니다,소방관
영화볼때 보통 팝콘 다 먹는데요 손이 계속 팝콘이 아닌 가슴으로 가더라고요 년만에 영화보면서 울었어요 모든 소방관님들 감사합니다,소방관
시사회 리뷰 실화를 바탕으로 만들어진 영화라서 그런지 몰입감 최고 진짜 배우분들 연기가 너무 좋은 나머지 감정이입해서 같이 숨죽이고 집중해서 보고 눈물 살짝 흘리면서 나왔어요,소방관
뻔하지만 그래도 눈물은 났고 우리가 알아야할 가슴에 느껴야할 이야기,소방관
홍제동 화재사건에 대해 다룰땐 대부분 사건의 범인 원인 중심으로 돌아간다 내용을 알고있음에도 불구하고 소방관의 입장에서 보니 하염없이 눈물이 났다,소방관
실화를 왜 영화화해야 하는지 고민한 흔적이 전혀 보이지 않는다,소방관
한가지 교훈을 얻을 수 있다 한국 영화지만 자막 좀 달아주시면 안될까요,소방관
적은 양의 신파가 단점이 된 경우,소방관
진짜 너무 슬프고 펑펑 울었고 차 뛰고 싶은데 너무 슬퍼서 못 뛰겠음,소방관
국짐 곽규택이 집구석,소방관
화면 전환은 왜 이렇게 부자연스러우며 스토리는 도무지 이해할 수 없는 전개를 보여준다 소방관에 대한 노고와 헌신이라는 메세지를 담으면서 영화를 이렇게 만들어 화가 난다 정말,소방관
시사회로 개봉전 미리 봤습니다 소방관이라는 직업에 대해 생각해본적없었는데 많은 생각을 하게된 영화이네요 소방관 처우가 지금보다 더 개선되었으면 좋겠어요,소방관
잊지 말아야 할 가슴 아픈 사건 소방관분들의 노고를 그대로 담아낸 영화였다 영화가 잘 돼서 더 많은 사람이 보면 좋겠다 감사합니다 기억하겠습니다,소방관
소방관 우리 곁의 영웅들 그들의 빛나는 사명감과 희생 스포,소방관
소방관 분들 존경합니다,소방관
소방관에 대해 많이 알게 되었고 이렇게 힘든 일을 하는 분들을 존경하고 응원합니다 영화를 봤을 때 그 감정들이 다 느껴져서 같이 울었습니다,소방관
이게 뭐지 싶다 소방관에 대해 무슨 이야기를 하고 싶은지는 알겠는데 연출력이 부족하고 너무 보여주고 싶은게 많았던듯 연기는좋지만 진짜 연출이 별로다,소방관
많이 슬프더라고요 소방관분들의 처우가 부디 개선되기를 바랍니다,소방관
소방관들의 노고를 깊게 포함한 작품,소방관
소방관분들 항상 존경하고 감사합니다 히어로 너무 좋아서 앤딩 크래딧 까지 다보고옴,소방관
영화가 끝나고 가장 먼저 들었던 생각이 영화 잘 만들었다 입니다 영화는 관람자에게 메시지를 전달해주고 그 메시지를 통해 변화를 주는 것이라고 생각하는데 소방관은 그 역할을 해낸,소방관
소방관의 기도는 언제 어느곳에서든 볼 때마다 눈물이 난다,소방관
역시 아쉬움이 많지만 모두가 봤으면 좋겠는 영화,소방관
소방관 처우 개선에 조금이라도 도움을 주지 않을까 나도 이런 주제의 영화를 제작을 하고싶다 라는 확신을 가지게 된 영화,소방관
기리는 마음으로 덮고 넘어가기엔 허술한 캐릭터들,소방관
실화바탕이라 더 슬펐다 마지막 박효신 노래 나올때 눈물,소방관
애써 담담하게 그려가는 숭고한 희생정신,소방관
난 커서 소방관이 될래요,소방관
감동도있고 재미도있었고 골목 불법주차 소방관님들 열악한환경 느껴지는게 많네요 어쨌든 소방관님들 감사합니다 진심으로 아무나 할수없는 일이란걸 새삼느낍니다,소방관
보지 마세요,소방관
위대하고 훌륭하신 소방관님들의 노고에는 저절로 박수와 응원이 나온다 하지만 이 분들의 이야기를 담기에 이 영화는 아쉽게도 그릇이 너무 작은것같다,소방관
소방관,소방관
곽 감독의 동생은 곽규택 국민의힘 의원으로 지난 일 윤석열 대통령 탄핵소추 표결에 불참한 의원이다 곽 감독은 자신의 동생인 곽 의원의 선거 유세 활동에도 적극 동참해왔다,소방관
아니 진짜로 양파즙 많이 나왔어요 울다가 또울고 울다가 또 울고 마지막에도 읽고,소방관
차를 주정차하는것이 아직도 지켜지지 않는 몰상식한 태도를 고쳐야한다고 생각합니다 영화를 보는동안 많은 눈물을 흘리는것에만 끝내지않고 많은 소방관님들은 응원하고 지지하겠습니다,소방관
소방관이란 소재에도 가려지지않는 조악한 신파극,소방관
할 말 많은 와중에 신파로 시간 버리기,소방관
안타깝고 슬픈 사건은 잊지 말아야 하지만 영화는 얼른 기억에서 지우고 싶다,소방관
추운 겨울 소방관분들의 노고와 사명감에 깊은 감사함을 느끼며 마음이 따뜻해 지는 영화였습니다,소방관
소방관님들의 고마움을 잘보여준,소방관
법과 제도는 누군가의 피와 목숨 위에 쓰여진다 진정성 있는 연기는 좋지만 그런 연기를 날려 보내는 편집과 연출이 아쉽다,소방관
희생과 헌신이라는 가치를 이 영화를 통해 다시금 상기하고자 합니다 순직 소방관들의 명복을 진심으로 빕니다,소방관
