review,name
예능 보는 줄 알았네 생각지도 못한 부분에서 몇 번 웃음 터짐 마지막에는 전형적이지만 그래도 짠했음,아마존 활명수
급영화보다 못한 억지 웃음 코드에 너무 뻔한 스토리 나에게 어디에서 웃고 감동을 느껴야하는 지 꼭좀 알려주세요,아마존 활명수
예상되는 개그 그 개그를 맞출때 짜릿함,아마존 활명수
오랜만에 재대로 된 코믹 감동 폭발,아마존 활명수
활명수라는 느낌이 딱 드는 작품이었어요,아마존 활명수
뻔한 스토리의 급 영화 차라리 유튜브에서 아마존의 눈물 다큐멘터리를 보고 류승룡 배우님의 과거작 극한직업 을 재감상하는게 나을듯,아마존 활명수
사람들의 관점은 다양하겠지만 내 기준에선 가족들이 아무 생각없이 웃을 수 있고 다본 후 즐겁게 마음이 편해지는 영화라고 생각한다 명절날 보는 코믹영화같은,아마존 활명수
웃음 코드가 너무 진부하고 억지 스러움,아마존 활명수
정말 억지로라도 웃어쥬고 싶었는데 안나옴,아마존 활명수
유치와 재치 한 끝차이,아마존 활명수
보는 내가 부끄럽죠,아마존 활명수
간만에 빡쳐서 별점 매겨요 중학생들이 모여서 일주일 만에 만들만한 이야기 입니다 제작비가 얼마라구요 대박이네,아마존 활명수
순식간에 시간이 가네요 빵터짐요,아마존 활명수
개꿀잼 나는 최고의영화라 생각한다 급 쿄미디로 딱맞아요,아마존 활명수
웃기긴 웃긴데 유치하기 이루 말로할 수 없다,아마존 활명수
배아플정도로 웃긴건 아니고 소소잼정도 킬링타임용으로 나쁘지않음,아마존 활명수
대충 얼기설기 구성에 과장 유머가 더해져 소화불량,아마존 활명수
낡은연출 클리셰 덩어리에 급 코미디같은 제목으로 개그 타율이 높지않다 요즘도 이런 개그가 통할 줄 알았다면 큰 오산,아마존 활명수
초등학교 자녀와 함께 보면 딱 좋을 영화 거기까지,아마존 활명수
영화보면서 내 막힌 속은 누가 뚫어주나,아마존 활명수
