review,name
시즌 부터 작품성이 있진 않았지만 시즌 로 오면서 그나마 있던 재미마저 잃고 오글거리고 구린 연출만 가득해졌다,오징어 게임 시즌 2
오 난 재밌게 봤는데,오징어 게임 시즌 2
늘어지는 서사 지루한 게임 욕심만 많았던 편의 징검다리,오징어 게임 시즌 2
공유라는 배우를 다시 보게 된것만으로도,오징어 게임 시즌 2
시즌 은 걸리는게 있어도 치달리는 전개에 마지막까지 보게 만드는 힘이 있었는데 시즌 는 방지턱에 계속 넘어지는 느낌 특히 후반부는 정말,오징어 게임 시즌 2
첫화에 양복남의 신들린 연기에 빠져서 화까지 정주행하게 만든다 한국인이 느끼기에 다소 오글거릴수 있지만 오징어게임 를 만든다 했을때 내놓을 수 있는 거의 완벽한 정답인듯,오징어 게임 시즌 2
제작비를 배우 섭외비에 다쓴거 같음,오징어 게임 시즌 2
오겜 기대안했었는데 임샨 출연한데서 몹시 기대됨 탑이 에러다,오징어 게임 시즌 2
이건 그냥 오징어잖아요,오징어 게임 시즌 2
오징어게임에서 게임은 어디가고 총질만,오징어 게임 시즌 2
시즌 는 나오면 안됐습니다,오징어 게임 시즌 2
오겜 편보다 편이 훨씬 더 재밌었음 전작의 명성을 이용해 엇비슷하게 흘러갈줄 알았는데 후속시리즈가 나오는데 오래걸린만큼 제작진들이 많은 고심을 한게 느껴져서 재밌게 봤음,오징어 게임 시즌 2
왜 이리 평점이 박하누 그냥 저냥 볼만은 하잖아 시즌 을 뛰어넘는 작품들은 원래 그리 많지 않잖아 시즌 본 사람들은 어차피 볼거잖아 그냥 보고 평타정도는 된다하면 됨,오징어 게임 시즌 2
이야기가 커진 느낌이 아니라 시즌 로 억지로 늘린느낌 시즌 에서 엄청 좋게 나오는게 아니면 최악으로 남을 듯,오징어 게임 시즌 2
공유의 재발견,오징어 게임 시즌 2
지루하고 전편보다 훨씬 재미없고 캐스팅도 더 어이없음 이제 시리즈로 만들지마라,오징어 게임 시즌 2
보다 만 느낌 타노스 대체불가할만한 캐릭터도 아니더구만 탑이 계속 거슬림,오징어 게임 시즌 2
박수칠때 떠났어야,오징어 게임 시즌 2
시즌 와 시즌 로 굳이 왜 나눈걸까,오징어 게임 시즌 2
공유가 다했다 시즌 가 한번에나오는게 좋았을것같고 고구마 찐따와 서사도없이 계속나오다 허망하게 가는 캐릭터들이 시간만 잡아먹고 의미도 없는게 매우 불호,오징어 게임 시즌 2
오징어 게임이 아니라 오징어 투표,오징어 게임 시즌 2
에서 멈췄어야했다,오징어 게임 시즌 2
잡다한 잡동사니들에 의해 어질러진 게임,오징어 게임 시즌 2
저는 재미있게 봤어요 공유가 인상적이 였습니다,오징어 게임 시즌 2
나는 시즌 보다 더 고퀄이고 너무 재미 있는데,오징어 게임 시즌 2
공유 러시안룰렛 때의 표정 크 박성훈 존예에서 갑자기 개 쌍남자 크 탑 그 캐릭터 자체가 역겨웠을 뿐 딴 미드보면 저런 역 항상있잖슴 노배우 양아치연기가 더 짱남,오징어 게임 시즌 2
시즌 로 가기위한 징검다리 시즌 시즌 의 캐릭터들과 시즌 새로 출연하는 캐릭터들을 조화시키느라 고민한 흔적이 많이 보인다 한 번에 몰아 볼 수 밖에 없을 정도로 흡입력 있음,오징어 게임 시즌 2
개인적으로는 시즌 는 이랑은 좀 다른매력이 있어서 매우 재밌게 봤는데 그냥 시즌 에서 끝냈으면 더 좋았을듯 깔끔하고 시즌 까지는 너무 길게 끄는 느낌,오징어 게임 시즌 2
의 표기로 한층 풍부해진 이야기 의 난잡함은 흥미를 잃게 한다,오징어 게임 시즌 2
타노스는 마블의 것 이름부터 배우까지 이 캐릭터만 더 고려했다면 시즌 는 더 성공했을 것 같다,오징어 게임 시즌 2
너무 기대가 컷나 내용이야 그렇다치고 한번에 공개하면 안됫냐,오징어 게임 시즌 2
초반 서사가 너무 길어 지루할 뻔 했지만 관객이 원하는 것이 훌륭하게 연출되어 나왔다 하지만 시즌 을 염두한 어설픈 결말 때문에 꼭 마지막 시즌이 나오면 몰아 보기를 추천한다,오징어 게임 시즌 2
공유의 연기교실 별들의 잔치 속 빛난 공유 그는 대체,오징어 게임 시즌 2
공유 때문에 도파민이 폭발해서 뒤에서 웬만한거로는 도파민이 안나옴,오징어 게임 시즌 2
뻔한 플롯과 클리셰의 집합체 보다 더 낮은 점수는 못 주는가,오징어 게임 시즌 2
탑만 아니면 점임 시즌 를 위한 중간단계 빌드업,오징어 게임 시즌 2
오랜만에 몰아보기 했네요 재밌습니다,오징어 게임 시즌 2
이건너무하잖아,오징어 게임 시즌 2
시즌 의 화려한 라인업으로 기대 중인데 탑이 있어 관건,오징어 게임 시즌 2
벌써부터 기대된다,오징어 게임 시즌 2
재밌어요,오징어 게임 시즌 2
수양대군 이정재,오징어 게임 시즌 2
기대보다는별로,오징어 게임 시즌 2
워낙 오징어게임 이 흥행해서 기대하고 봤어요 초반엔 약간 루즈했는데 게임시작부터는 흥미진진합니다 역시 이병헌연기는 명불허전입니다 가 기다려집니다,오징어 게임 시즌 2
좀 빨리 달려도 좋을 것 같은데 뭔가 열심히 풀어 설명을 하는게 지루한 감이 있다,오징어 게임 시즌 2
각본과 연출을 다 하는 감독님답게 시즌 를 위한 빌드업을 탄탄하게 잘 쌓으신거 같다 이정도면 정말 나쁘지 않은데 혹평이 넘많음,오징어 게임 시즌 2
공유의 연기가 엄청났다 물론 후반에는 김이 빠지기는 했지만 시즌 에서 어떻게 끝날려는지 궁금하다,오징어 게임 시즌 2
