review,name
출연자가 노출 수위를 대본이 아니라 촬영 직전 콘티로 알게 되는 콘텐트는 제작돼서도 공개돼서도 안 된다고 생각합니다만 게다가 대역에 배우 얼굴 합성이라니 기괴하기 그지없음,원경
티빙아 정신차려라 몸으로 관심끄는 시대는 끝났어,원경
생각보다 시대극이랑 차주영 배우님 비주얼이 잘어울리네요 고구마가 예상되지만 재밌을 것 같습니다,원경
여성주의를 설파하기 위해 이런 정도의 댓가를 치뤄야할까 역사왜곡의 악취가 가득한 드라마 암담하다,원경
뭔데 왜 재밌는데 사극을 좋아하지않는데 한번보고 푹빠짐 재밌어요 화 빨리보고싶어요,원경
하필 오픈 시점 시국 영향에 악플이 생성되겠지만 극중의 원경은 사악하지도 멍청하지도 않다 드라마 오픈 시점 이 드라마보다 나은 드라마가 없는데 드라마 최대의 빌런은 채영,원경
태종은 처가에 대한 자격지심에 왕비에게조차 적대감을 들어내는 발암캐릭으로 나온다 냉대속에서 세종을 길러내는 원경 이건 입지적 이야기가 아니라 인간의 고뇌에 관한 고찰이다,원경
웃기네 원경이 대사 하는거 들어보면 지금 패미들이 외치는 당당한 여성 그 자체던데 그러면서 벗기면 남자들이 조아라 할것 같든 그냥 짜증나던데 니들 사상,원경
원경왕후의 다음이 기대된다 된다 차주영 힘,원경
아쉽게도 제 취향은 아닙니다 스토리가 너무 진부해요,원경
금만 포커스 된 삼류 사극 노출씬 때문에 여주 캐스팅 된게 확연히 티 나네,원경
김건희가 드라마 만들라고 하드나,원경
차주영 중전역에 너무 잘 어울리지만 대본 좀 너무함,원경
출연자들의 연기는 나무랄때가 없으나 개연성이 부족한게 단점이다 예를들면 방원의 갑작스런 감정변화등,원경
다 떠나서 내용이 너무 피로하다 현실만 해도 넘치게 피곤한데,원경
개존잼 예전처럼 부작 대하드라마로 제작해달라,원경
한국판 튜더스,원경
재미있다 마네 뭔가 더 봐야하나 하는 의구심이 생겨서 화 보다 하차함,원경
이현욱배우의 어쩜 그리 나쁜역할을 잘하는지 이방원역할도 딱인듯합니다,원경
노출 신 없어도 될것같은데 배우들 연기 잘하고 재미있어요,원경
