review,name
팬들을 생각하는 마음이 진심이라는걸 다시 한번 느끼고 감동 받았어요 지금도 좋은 점이 차고 넘치는데 더 좋아졌어요 앞으로도 좋은 공연 기대하며 응원합니다,임영웅│아임 히어로 더 스타디움
이름처럼 산다 엄마의 청춘을 알아주는 임영웅이 너무좋더라 진정한 히어로,임영웅│아임 히어로 더 스타디움
영화관내 모든 연령의 엄마들을 소녀로 만들어주는 영화 진짜 영웅 히어로였다,임영웅│아임 히어로 더 스타디움
임영웅 아임히어로더스타디움 공연 영화는 팬들을 향한 진심과 아티스트 로써 전심을 합해 감동과 전률을 느끼게 해준다 눈과 귀가 즐겁고 가슴을 울리는 영화,임영웅│아임 히어로 더 스타디움
임영웅 최고입니다 영화 다시 보겠습니다,임영웅│아임 히어로 더 스타디움
임영웅의 노력과 진심이 느껴졌다,임영웅│아임 히어로 더 스타디움
팬들을 사랑하는 마음이 진심이라는 마음이 느껴지고 영화를 보고 감동을 받았어요,임영웅│아임 히어로 더 스타디움
임영웅은역시임영웅이라는걸영화보며다시한번확인 라이브실력영상미그리고멋진아티스트준비과정 모든게퍼팩트,임영웅│아임 히어로 더 스타디움
최고의영상 감동입니다,임영웅│아임 히어로 더 스타디움
명품가수 임영웅의 아임 히어로 더스타디움은 볼때마다 행복하고 볼때마다 놀라움이네요 하나하나 섬세하지만 철저한 준비로 행복을주려 노력한 모습에 또 반합니다 모든날 모든순간 사랑합니다,임영웅│아임 히어로 더 스타디움
몇번을 봐도 또 보고싶은 영화 현장에서 느끼지 못했던 무대 뒷이야기 콘서트에서 놓쳤던 장면들 그날의 기억이 생생합니다 음향을 뚫고 나오는 가창력 모두 최고입니다,임영웅│아임 히어로 더 스타디움
너무너무 감동입니다 역시 임영웅,임영웅│아임 히어로 더 스타디움
보는내내 감동받고 행복 가득한맘 안고 돌아왔습니다 임영웅 건행,임영웅│아임 히어로 더 스타디움
임영웅 상암콘서트와 스토리 영화로 보니 대단했다 광대한 스케일 하며 상암 경기장 트랙을 뛰어다니며 노래하는 팬서비스가 감동적 호흡은 안정적 열정은 폭발적 설렘은 관객의 선물,임영웅│아임 히어로 더 스타디움
상암콘서트 제작과정과 임영웅의 노력과 의지를 더 자세히 알 수 있었고 좋은 음향과 화려한 무대를 재현해 놓은 것 같아서 좋았읍니다,임영웅│아임 히어로 더 스타디움
영화 보는 내내 감동이었어요 임영웅 최고의 아티스트라는걸 새삼 더 느끼게 되네요,임영웅│아임 히어로 더 스타디움
임영웅 정말 대단한 아티스트 영화 보고 다시 한번 감동입니다 콘서트도 꼭 다 보고 싶어요 응원합니다,임영웅│아임 히어로 더 스타디움
영상미 구성 가수의 진정성 무엇보다도 라이브 목소리 미쳤다 우리 모두를 히어로로 만드는 마력 감동입니다 임영웅 춤선이 이쁘고 카리스마까지 발전해나가는 모습 굿입니다,임영웅│아임 히어로 더 스타디움
상암콘에서의 감동을 영화로 볼수있어서 넘 감동이었습니다 봐도봐도 또 보고싶은 임영웅 재미있게 잘 봣습니다,임영웅│아임 히어로 더 스타디움
두시간이 이렇게 짧았나 감탄의 연속이었다 임영웅 하길 잣했다,임영웅│아임 히어로 더 스타디움
