review,name
공포와 재미와 감동이 잘 버무려 진 비빔밥 빨리 시즌 나오길 있겠죠,조명가게
이게 무슨 내용이지 무슨 전개지 무슨 관련이지 독립된 인물들과 사건들이 나오는데 화 마지막 볼때까지 의문만 가득했음 화까지는 봐야한다 화를 보면 다 설명됨,조명가게
호러의 탈을 쓴 휴먼드라마,조명가게
방심하고 봤다가 수도꼭지 튼다,조명가게
연출이 기대만큼 잘 나와서 좋았다 꽤 무서웠음,조명가게
독립적인 사건들을 스토리가 진행됨에 따라 유기적으로 하나의 이벤트로 묶는건 강풀 작품의 특징이다 화에서 다 묶어준다 두사람이 있다고 했니 궁금해 서로 알고 있는지,조명가게
끝까지 봐야함 무섭고 재밌는데 다 복선임 두번째 정주행하며 복선 찾는거 너무 재밌었어요,조명가게
최고였음 그냥 보면됨,조명가게
웹툰도 재밌게 봐서 엄청 기대중입니다,조명가게
이게 뭐지 하고 보다가 어느덧 울고있는 모습을 발견하다,조명가게
처음엔 뭘까 하면서 보다가 마지막엔 꺼이꺼이 눈물을 흘렸다 오랜만에 이렇게 많이 운 드라마 오랜만이다 역시 믿고 보는 강풀과 디플 최고,조명가게
무섭고 슬픈 사랑이야기 화에서 꺼이꺼이 울었습니다,조명가게
기묘하면서도 따뜻한 무서우면서도 슬픈 진짜 딱 이말이 잘 표현해주는거같아요 화까지 한번에 보기에도 괜찮은 러닝타임이라 몰입해서 봤습니다,조명가게
무서운줄알았는데 무서움 슬픈줄알았는데 슬픔,조명가게
어둠으로 은은하게 따스함이 퍼진다,조명가게
삼류 공포영화 같음 어둡고 연기들이 어색하고 스토리와 연출이 많이 엉성하고 재밌지가 않음,조명가게
드라마화 된다고 한 뒤 웹툰 찾아봤는데 어떻게 영상화 하셨을지 너무 기대중입니다,조명가게
전개가 느려서 답답했는데 회 지나고부터 서사가 풀림,조명가게
조명가게는 제 인생 드라마였습니다 공중파로 무빙처럼 나왔으면 좋겠어요 보면서 펑펑 울었네요 년도 모두들 각자의 조명을 간직하고 건강하시길,조명가게
빌드업이 미친 드라마다 마냥 무서운 드라마인 줄 알았지만 다 의미가 있던 행동들이었고 세상에 사랑을 이길 수 있는 건 없을 거 같다는 생각이 들게 했다 너무 완벽함,조명가게
수도꼭지 열림 명작,조명가게
연출 연기 스토리까지 완벽한 강풀식 사람사는 이야기,조명가게
사연이 너무 많아,조명가게
이렇게 서사와 내러티브로 꽉 채워진 스토리가 호불호는 많이 갈리겠지만 나는 정말 취저였다,조명가게
계속보게 만드는 그러나 그만큼 나의 시간 소비에 대한 아쉬움,조명가게
화 까지 보니 웹툰이랑 싱크로율이 높네요 시간순삭 입니다 남은 회차도 기대됩니다,조명가게
기대하고 봤는데 너무 무서워서 하차함,조명가게
개무서움 그러나 계속보게되는 몬가 슬픈일이 일어날거 같은,조명가게
초반에 산만하다고 느낄수 있으나 나중에 가면 아 하고 보게됨 화 무서웠음,조명가게
태구 배우님이 표현하는 현민 은 어떨지 기대중입니다 짤막한 예고편 봤는데 짧게본 현민 은 겁도많고 혼잣말도많고 친절하고 정도많은 사람이라 좋았습니다,조명가게
예고편 포스터만 봐도 두근두근 기대됩니다,조명가게
웹툰을 너무 재밌게봐서 기대가 됩니다 김희원감독님이라 더욱 기대되는듯,조명가게
년 최고의 드라마,조명가게
마지막을 위해 이만큼 달려온건가 싶음,조명가게
세상에서 가장 아름다운 만남이자 이별,조명가게
너무 기대를 했는지 좀 아쉽네,조명가게
독보적 스토리와 영상 배우출신 감독의 첫연출작이라는 색안경 벗고 보라 객관적으로도 잘만든 오싹 괴기 감동 스릴러,조명가게
마지막화 새벽에 보지 마세요 눈 팅팅 부어요 초반엔 미스터리한 분위기 알쏭달쏭한 이야기가 주가 되는데 후반부로 갈수록 하나둘씩 이해가 되면서 마지막엔 눈물샘 개방되는 드라마,조명가게
화는 정말 스토리텔링의 끝판왕의 의심의 여지가 전혀 전혀 없다 강풀 천쟈 김희원 감독 첨재,조명가게
이런건 후미진 골 목에 있는 냄새나는 만화방에서 너덜해진 만화책으로나 볼만한 책이여야한다 무슨 드라마나 영화로 만들만한 내용도 없고 뻔하디뻔한 저승길 이야기,조명가게
강풀 유니버스를 기대하게 만드는 작품,조명가게
긴 빌드업 끝에 드러나는 이야기,조명가게
여러 가지 사연으로 인해 집중의 흐름이 깨지는 경우가 있었고 이해시키기 위한 반복적인 장면들이 지루했지만 내 점수는 오로지 편과 편에게,조명가게
오랜만에 본 빛같은 드라마,조명가게
장르 드라마가 이 정도면 대만족 강풀 유니버스가 좋다,조명가게
죽음에 대한 새로운 시각 아련하고 섬뜩하다,조명가게
조명가게재밌습니다 너무배우들연기 찐,조명가게
꼭보세요 너무 재미있습니다,조명가게
작가 강풀이 가진 정서적 신파성을 김희원 감독이 어느 정돈 희석시켰으나 지나치게 선량한 주인공은 인물의 역동성을 떨어뜨린다,조명가게
죽음에 대해 다시 한번 생각해보게되는 어쩌면 끝이아닌 또다른세상에서의 시작이 아닐까,조명가게
