review,name
디들 편 시작부터 항문 밤톨 조폭 이런거에 항마력 안딸렸어요 진짜요 클리셰 너무 다 안보였어요 안 오글거렸서요 의리로 끝까지 보긴했다만 넘 쌈마이였슴,중증외상센터
아는 맛이 무섭다 늘어지는 부분 없이 깔끔한 전개가 굿,중증외상센터
많이 접한 전개임에도 군더더기 없는 빠른 전개로 에피소드 편 순삭했네요 윤경호 배우 너무 귀엽네요 전 재밌게 봤어요,중증외상센터
내생에 가장 보기힘든 메디컬물이었다 너무인위적이고 오글거려서 화보고 포기,중증외상센터
제대로된 메디컬 시즌 드라마 탄생 주지훈 배우 다작하더니 하나 제대로 터짐 추영우는 옥씨부인전에 중증외상센터에 연속대박 하영은 이번에 눈도장제대로 딱 윤경호는 역시나 윤블,중증외상센터
오랜만에 넷플릭스에서 최고 쌍따봉을 눌러 보네요,중증외상센터
중증외상센터 온라인 팬 스크리닝 리뷰,중증외상센터
메디컬히어로물의 근본이 될 것 같은 드라마,중증외상센터
쭉 한 번에 회까지 간 이유는 내가 한가해서일까 드라마가 재미있어일까 이 질문에 바로 답이 나오지 않는다 뻔한 내용 뻔한 캐릭터이지만 나에게 환상을 주기 때문일까,중증외상센터
사이다 전개가 판타지스러운 현실이지만 그랬으면 좋겠네 제 의 전성기 주지훈과 신성이지만 초신성이 돼버린 추영우 그리고 하드캐리 윤경호의 연기는 최고,중증외상센터
의료 현장에 관한 높은 디테일와 비현실적인 판타지가 묘하게 섞여있다,중증외상센터
전체적으로 잘 만든 티가 남 신파로 갈 수 있는 부분을 반 메세지 반 코미디로 간 것이 인상적,중증외상센터
스토리 캐릭터 재미 모두 다 잡은 매력덩어리 드라마,중증외상센터
웹툰을 너무 재밌게봐서 드라마화 된다는 소식 들었을때 행복했다 이 기대감이 실망감으로 돌아오지 않았으면 좋겠다,중증외상센터
유치하고 과장되며 때때로 공중파 옛날 드라마 같기도 한 순간들이 차고 넘치지만 갈등이 얕고 금방 해결되고 주인공이 먼치킨이라 고구마 먹을 일 없다는 게 요즘 시대에 먹히는 듯한,중증외상센터
사람에 대한 목숨에 대한 가치에 대한 올해 가장 가독성 높은 드라마 몰입감이 끝내주고 모든 배역이 인생캐 설연휴 최고 띵작,중증외상센터
김사부와 유시진대위를 짬뽕한 느낌 그래도 짧고 굵게 좋다 이런 리더가 우리에게는 지금 필요하다,중증외상센터
김사부가 백강우의 공통점이라면 같은 분야에 거친 의사라는점 김사부가 냉소적이라면 백강우는 다혈질이다 김사부는 심화과정이었다면 백강우는 보다 기본적인 부분에 충실했다 굿이다,중증외상센터
단순한 먼치킨물이 아니라 열등감이나 자괴감에 시달리지 않고 최고의 외과전문의인 백강혁을 롤모델로 삼아 그의 길을 함께 걷기 위해 노력하는 주변 인물들의 이야기,중증외상센터
스토리 연기 너무 좋았고 특히 지루한 부분이 거의 없어서 좋았습니다,중증외상센터
당첨되어서 화까지 봤는데 너무 재미있네요 팬스크린리뷰,중증외상센터
중증외상센터 온라인 팬 스크리닝 리뷰,중증외상센터
웹툰의 그 느낌을 이렇게 잘 살리다니,중증외상센터
중증외상센터 온라인 팬 스크리닝 리뷰,중증외상센터
코미디를 첨가한 스릴 넘치는 메디컬 활약극,중증외상센터
오징어게임 보다 기대된다,중증외상센터
나는 백강현이다아 닥쳐,중증외상센터
와 언니가 보길래 궁금해서 봤는데 아 진심 개재밌어요,중증외상센터
만화적 캐릭터를 배우들의 매력으로 잘 설득 시키고 오글거리는 상황을 현란한 연출로 포장에 성공,중증외상센터
답답한 현실은 이미 많이 봤으니 이 정도 판타지는 괜찮지않나 드라마에서라도 간접 경험하니 시원하고 재미있었다,중증외상센터
추영우 배우님 보려고 봤는데 배우님들 연기덕에 재밌었던 듯 해요 주지훈 배우님이나 하영배우님도 연기 잘 하시더라구요,중증외상센터
훌륭한 스토리와 전개를 가로막는 억지 오버 연기,중증외상센터
대한민국 모든 의사선생님 감사합니다,중증외상센터
더글로리 이후로 하루만에 다 본 시리즈 물론 부작이기 때문에 그럴 수 있지만 시즌 생각해서 만든 부작이면 괜찮은거같다,중증외상센터
스피디하고 담백하게 재밌음,중증외상센터
전개가 빨라서 좋음,중증외상센터
질질끄는 스토리없이 깔끔했다 주인공 설정이 내취,중증외상센터
예상밖의 스토리 전개는 거의 없었지만 원작의 요소를 해치지 않고 불필요하게 길지 않은 러닝타임에서 잘 끝낸 작품,중증외상센터
주지훈 추영우 정재광 존멋 내용은 뻔한 스토리지만 재미있게 봤어요,중증외상센터
뻔하지만 낭만이 있는 이야기 드라마는 시원하지만 현실은 다를 수도 그럼에도 현장에서 사명을 다하시는 의료진분들 화이팅,중증외상센터
이정도 연기에 이정도 스토리 전개 요즘 시대에 이정도 맛만 내줘도 감사하다 죄다 가격만 비싸고 맛은 없는 쓰레기 천국인데 말이지,중증외상센터
의사가 쓴 웹소설 기반 웹툰으로 제작한 드라마라 그런지 의료행위자체보다 현실의 답답함과 우리 사회의 문제를 지적하는 주제로 다가왔다 그 과정에서 백교수로 대리만족한 드라마,중증외상센터
자신이 아줌마고 한국코미디를 좋아하면 추천,중증외상센터
시간 질질 끄는 빌드업 따위는 개나 줘버린 시종일관 초특급 사이다 메디컬 블록버스터,중증외상센터
대학병원 아이언맨 캐릭터는 매력 있다,중증외상센터
드라마에서 빠른 전개와 몰입감은 무시할 수가 없다 캐릭터 하나하나의 매력이 있고 클리셰가 한스푼 담긴 의학드라마,중증외상센터
재밌어요,중증외상센터
고증은 둘째 치고 빠른 전개와 몰입도로 쉴 새 없이 완주,중증외상센터
그냥 처음부터 끝까지 시원하게 잘 만듬,중증외상센터
클리셰는 잘팔리니까 클리셰인것,중증외상센터
안보이는 곳에서 사람을 살리고자 애쓰는 분들께 보내는 리스펙 시대가 바라는 이상적인 의사상,중증외상센터
주지훈 추영우 찰떡 캐스팅 입니다,중증외상센터
오 재밌는데 선한 대의가 있는자가 똑똑하고 강성이고 경제적 자유도 있고 너무 좋아 사이다의 향연,중증외상센터
