review,name
감독의 오컬트 부작 중 오락성 면에서는 제일 만족도가 높음 개인적으로 흥미로운 주제라 초반에는 몰입이 좋았지만 후반부의 늘어짐과 험한것의 공포감이 약한것이 아쉬웠음,파묘
하여간 일본놈들 차 첫 관람 때 못봤던 디테일들 발견하고 신났는데 다들 이미 알더라,파묘
기대 이상 한일전은 무조건 이겨야지,파묘
진짜 배우들의 신들린 연기를 보고 감동받았네요 찐으로 소리지를뻔,파묘
오컬트와 민속학으로 시작해서 역사와 민족까지 거슬러 올라가는 장재현 감독의 담대한 야망과 포부,파묘
영화를 본것같지 않고 괴수 비디오게임 에피소드를 하나 본것같다,파묘
와 보는내내 몰입도가 짱 믿고 보는 배우들 연기 때문이겠죠,파묘
캐릭터들 별루이고 내용도 벌루 그냥저냥 볼만 영화도 아님,파묘
너무 직관적인 이야기 소재와 컨셉까진 좋았지만 중반부부터 실망감을 감출 수 없다,파묘
종교 우주 무속과 풍수는 뚜렷한 실체가 없는데도 사람들이 이유 모를 믿음을 갖고 있기에 그 생명력을 유지한다 그런 점에서 오컬트의 매력을 상실케하는 실체의 등장은 아쉽다,파묘
한국이니까 가능했던 반전과 스토리,파묘
실체가 안보일 때 까지는 참 좋았는데,파묘
엄청난 오컬트 세계관 보는내내 스토리와 연기에 소름,파묘
무 를 보려고 묏자리를 파헤쳤더니 생각지도 원치도 않았던 무 가 딸려 나온 건에 대하여,파묘
오컬트로 엉성히 덮어둔 항일영화 아쉬운 시나리오를 훈수적으로 넘겨보려는 비겁한 연출 이제 오컬트는 그만 놔줬으면 한다,파묘
감독의 뚝심이 빛을 발하는 영화이다 이런 다양한 영화를 원했다 짜임새도 좋고 연출 시각효과 연기 뭐하나 아쉬울게 없었던 상업오락영화의 진수 초강력추천한다,파묘
공교롭게 삼일절에 보고선 상영관에 불 켜진 뒤 대한독립만세 외칠 뻔,파묘
개인적으로 마지막까지 몰입감 있게 봤음 영상적 묘사나 표현이나 음향 배우님들 연기는 두말할것도 없었고 그저 갓했다,파묘
취재와 경험 상상이 만난 촘촘한 서사 뜻밖의 한일전 카타르시스,파묘
전반부 곡성 후반부 고스트 버스터즈,파묘
파내고 파내 장르의 척추를 끊어버림에도 영화 전체에 가득 배인 누린내,파묘
김진명의 황태자비납치사건 조정래의 아리랑이 버무려진거 같은 한국만 만들 수 있는 오컬트,파묘
젖은 나무에서 활활 타오르는 쇳덩이의 야망이 느껴진다 장재현 감독의 야망은 또 한번 증명됐다,파묘
오컬트 영화 제 기준 탑입니다 와 김고은 배우 연기에 감탄했어요 굿하는 장면에서 소름돋고 눈물이 차오를 만큼 연기에 감동받았어요 몰입감 최고였어요,파묘
그냥 이장이 아니었다 단순 파묘가 아닌 일제 만행을 파내어 버리는,파묘
변형 괴수물로서의 오컬트 비빔밥,파묘
오컬트에 준 적은 없었다 스릴러 액션 코믹 재미 스토리 짜임새의 발란스가 참 잘 버무러진 영화 또 보고 싶음 혹시 놓친 게 있을까봐 오싹함을 참고 다시 봐야지,파묘
오컬트 작품들 중 가히 수작이라 할만한,파묘
무속인이라는 신선한 소재와 긴장감 넘치는 전개,파묘
전반은 풍수 장묘 무속 등 토속적 오컬트 소재를 배합해 나가다가 장점은 다 묻어버리고 후반 도깨비가 된 일본 쇠말뚝 귀신으로 슬래셔 괴수물 노선 변경 후 급마무리 한다,파묘
영화 속 그들도 관객들도 정말로 처음 보는 것이 나왔다,파묘
파묘는 오해를 받고 있다 영화를 응원하는 쪽과 영화를 비판하는 쪽 모두에게,파묘
배우들 연기는 물론 좋았고 너무 무서워서 시간을 어떻게 버텼는지 모를 정도 심장이 너무 쿵쾅쿵쾅,파묘
연기맛집 분이 순식간에 지나버렸어요,파묘
출발은 창대하나 도착은 미미하다,파묘
김고은의 굿에 내 혼도 뺏길 뻔,파묘
직관적인 오컬트 한국의 장묘 문화와 미신 등을 잘 섞어 맛깔나는 퇴마극으로 탄생시킴 상당히 직관적인 퇴마물이라 곡성 이나 사바하 보단 더 오락적인 느낌도 강했음 재밌,파묘
시리즈로 만들법한 한국형 오컬트,파묘
오컬트의 새로운 역사를 쓴,파묘
한국의 혼을 담은 오컬트 영화 그냥 봐도 재미있지만 깊이 살펴보면 더 큰 메시지를 나눌 수 있습니다,파묘
게으른 네셔널리즘,파묘
나도 작품에 대해서만 평가하고 싶은데 아니 이도현이 자꾸 꼬시더라니까요,파묘
이 영화에서 가장 무서운 것은 배우들의 연기력,파묘
오컬트의 의미있고 인상깊은 한국화,파묘
무당이 치성드리러 산타는게 아니라 굿할 체력 기르러 다니는걸수도 있겠단 생각을 처음 해봄 김고은 굿판 굿,파묘
오컬트물이라기 보단 괴수물 괴수를 상대하기 위해 열심히 설명해준 규칙들은 한마디에 물거품이 되고 자기들끼리만 아는 법칙들로 얼렁뚱땅 해결해버린다,파묘
어느시점까지 굉장히 탄탄하다고 생각했는데 맥이탁풀리는 그 순간 너무기대를했나보다,파묘
장르들 사이에서,파묘
물은 불을 이기고 젖은 나무는 쇠보다 질기다,파묘
갈수록 고개가 갸우뚱,파묘
