review,name
안중근 의사와 배우들의 이름값만 믿고 만든 영화,하얼빈
근 년간 본 영화 중 제일 돈 아까운 작품 아무리 역사가 스포라지만 상업 영화를 이렇게 재미도 감동도 없이 찍는다고 다큐로 무료 방영했다면 하품을 참으며 봤겠으나 영화로는 영,하얼빈
어떻게 와 왜 라는 두 주제를 묵직하게 담아낸 마음 가짐,하얼빈
감히 재미를 원하지 못하게 스크린을 뒤덮는 비장함,하얼빈
끓어오르는 열망을 차갑게 말하다,하얼빈
안중근 뿐 아니라 독립운동 하던 사람 들의 이야기 현 시국과 맞닿아 더욱 몰입되었고 배우들의 연기와 영상미가 뛰어남 꼭 극장에서 보시길,하얼빈
영웅인가 뭔가 한것보다 훨씬 더 낫다,하얼빈
영화를 본 건지 대본 리딩 현장을 본 건지,하얼빈
캐릭터의 부들거림과 웅장하려고 노력하는 음악정도로 채워지기에는 다소 어려운 애국심,하얼빈
남한산성을 원했으나,하얼빈
지금꼭봐야할영화,하얼빈
나였다면 를 계속해서 되뇌이게 되는 영화,하얼빈
하얼빈 솔직히 많이 지루했습니다 보다가 한 세번 졸았습니다 일단 현빈이 너무 안중근역활에 안 어울렸고 전투신도 적었다 그리고 화면이 어두워서 너무 안보였다,하얼빈
안중근 혼자 주인공이 아니다 다른 동지들과 함께 주인공이다 현재 나라 상황과도 잘 어울린다 딱 맞춰서 나온 것처럼,하얼빈
억 대작을 기다려는데 배우는 연기하는 얼굴이 보이지 않으니 대사로만 감정을 전달하고 감동 극적인 묘사는 하나도없다 영화로 공부하는게 아니다 영화는 영화다워야 한다,하얼빈
시사회 무대인사로 먼저 보고 왔습니다 영웅도 영화관에서 봤는데 두 작품 모두 너무 잘 봤고 특히 하얼빈은 극장 차이인지 화질부터 모든게 너무 잘 만든 연기도 대박인 영화였습니다,하얼빈
이 시국에 재미 없다고 말하면 매국노가 되는 기분 대한민국 만세의 감동은 당연하고 거룩한 느낌까지 있으나 조오금 지루하긴 합니다,하얼빈
가슴속에서끓어오르는묵직한울림,하얼빈
암살 밀정을 이은 만주 에스피오나지 장르를 당당히 잇는 수작,하얼빈
영화 하얼빈 안중근이 윤석열에게 독립군이 친일파에게 국민들이 윤석열에게,하얼빈
내인생 최고로 잘생기고 인간적인 안중근을 만났습니다 영화전체적으로 잔잔한 울림이 있습니다 새로운 시선으로 본 하얼빈의 역사를 되새기는 시간 배우들이 다 매력적이에요,하얼빈
차갑고 담담하게 억눌러왔던 것들이 터져 나오는 순간,하얼빈
고뇌와 고심으로 점철된 고결한 방아쇠,하얼빈
다 아는 이야기였지만 화면에 속 장면들의 영상미가 좋았던,하얼빈
영웅의 어둡고 차가운 부분을 천천히 들여다본다,하얼빈
가슴 뜨거워지는 영화였습니다 이시국에 너무 맞는 영화네요,하얼빈
초반 전투씬이 너무 잔인하다 생각 이상으로 잔인하다는 생각 개인적인 생각으로 현빈이 안중근 역에 안 어울린다는 생각을 했다,하얼빈
영화의 분위기와 영상미 장엄한 가 매력적이지만 역사를 담담하게 담아내어 무미건조해진 것이 아쉽다,하얼빈
독립운동가분들의 고뇌와 좌절 독립운동의 열망과 고통 끝이보이지않는싸움 진짜 존경합니다,하얼빈
따로 노는 연기톤의 불협화음 만이 완벽한 화음을 자아냈다,하얼빈
서글프고 차가운 스크린으로 의사들의 고뇌와 고민을 무겁게 담아내다,하얼빈
아쉬운 스토리와 당혹스러운 암살 시퀀스를 제외하면 꽤 괜찮은 수준,하얼빈
하얼빈 자욱한 담배 연기로 써 내려간 참회록,하얼빈
역사가 스포인 영화지만 깊이 있는 연출과 배우들의 훌륭한 연기가 돋보였다 허구의 인물을 더해 상상력을 발휘했으나 과장 없이 감동을 전달하며 현시국에 꼭 필요한 영화다,하얼빈
첩보 느와르의 색을 입은 정적이고 차가운 허나 가슴은 뜨거워지는 안중근 영화의 탄생,하얼빈
알고있는 이야기지만 새롭고 몰입감이 최고였어요 영상미도 배경음악도 웅장하고 배우분들의 연기 와우,하얼빈
월 일 시사회로 감상했어요,하얼빈
의 와 의리 사이에서 펼쳐지는 대의 를 향한 엄중한 서사 흠 잡을 때 가 시의적으로 생각이 뜨거워진다,하얼빈
믿고보는 배우들의 영화 하얼빈 너무 재미있었고 우리가 여기까지 올수 있는 이유를 다시한번 되돌아보는 시간이고 감사하고 고맙습니다 대한독립만세,하얼빈
이 영화의 목적지는 분명히 하얼빈인데 자꾸만 다른 길로 샌다,하얼빈
가슴이 먹먹해지는 겨울 영화 이미 역사적으로 아는 결말에도 중간까지는 속이 답답했던 선조들이 얼마나 독립을 위해 싸워왔는지 다시 한번 느낄수 있었다,하얼빈
재밌어요 오랜만에 영화 보면서 울었네요,하얼빈
배우들 덕분에 집중해서 볼 수 있었던 영화,하얼빈
나는 영화관에서 볼 영화는 관객에서 비쥬얼 연기 연출 등으로 압도해줘야 한다고 생각하는데 이 작품은 모든 면에서 훌륭했다 완벽했다 보다는 충분 그 이상 좋았다,하얼빈
차갑고 진한 색들로 가득 채워 그려낸 그때 하얼빈의 그들,하얼빈
광화문 초대장,하얼빈
역사는 뜨겁고 서사는 뜨듯,하얼빈
감동 또 감동 회관람 예정,하얼빈
안중근이라는 인물이 지금까지 잊혀지지 않고 기억되는 이유,하얼빈
차가운 파란 불꽃같은 영화,하얼빈
