review,name
말도 안되는 설정이지만 그냥 뇌를 빼고 보면 볼만한 영화,히트맨2
히트맨 보다 많은 액션 뻔한 웃김이 있지만 볼만했다 이이경 정준호 두 케미가 보기 좋았다,히트맨2
그러니까 좋든 싫든 전형적인 팝콘무비,히트맨2
웹툰 애니메이션 과 실사 영화의 접목이라는 신선함은 편까지만 억지스런 뇌절에 구멍까지 숭숭,히트맨2
생각 외로 재미있었다 특히 애니메이션이 명품이다,히트맨2
중반부까진 그래도 명절 특선 영화 정도는 되는데 그 이후부터는,히트맨2
히트맨 고퀄의 작화와 배우의 특별 출연까지 유쾌했던 무대인사 시사회 현장 후기,히트맨2
우린 이딴 쓰레기나 볼려고 만오천원을 내는게 아니다,히트맨2
암살요원 준 애니메이션 만화 컷들이 더 재밌다 도대체 이런 영화를 어떻게 만드는거냐 코믹스럽고 과장되고 억지스러운 장면들과 대사 연기는 저절로 실소를 유발하게된다,히트맨2
거리면서 볼만한데,히트맨2
히트맨 드디어 보고 왔어요 전작만큼 신선한 느낌은 덜했지만 킬러 액션은 여전히 멋있더라고요 웃음 포인트도 많아서 가볍게 보기 좋았어요,히트맨2
처음부터 끝까지 거를 타선 없는 쓰레기,히트맨2
아쉽다 보가 보겠다마는 아쉽다는 느낌이 있긴 하다,히트맨2
병맛에 유치뽕인데 이상하게 재미는 있어,히트맨2
급영화 감성에 웹툰이라는 조미료를 넣어만든 영화 뇌빼고 볼만한 영화,히트맨2
편 보다는 별로지만,히트맨2
마냥 즐겁게 볼수잇는 코믹액션영화,히트맨2
점도 아깝다 편이 너무 불쌍하다,히트맨2
연출 연기 또한 그닥임 재미를 못 찾겠음,히트맨2
욕계속하면 재밌는줄 아나 적당히 해야지 모쏠아다 이딴말 나오고 이걸 본 내가 원망스러움,히트맨2
오히려 웹툰 이야기에 흥미가 생겼던,히트맨2
하아 어디가 재미있다고 하는건지 한참 생각해야 했다는,히트맨2
유치하고 뻔하지만 컨셉만큼은 확실하다 나름 짜임새 있는 스토리와 애니메이션과의 자연스러운 전환에 시간은 전혀 아깝지 않았다,히트맨2
편보다 규모도 키우고 에니도 더 추가하고 유치함도 더하고 뇌에게 휴식 시간을 주고 화면을 멍하니 바라보면 시간은 잘 간다,히트맨2
개노잼임 와 개유치하고 입꼬리 미동도안와,히트맨2
한국영화의 미래는 있는가,히트맨2
급을 기대해줘도 급을 가져오면 어떡하냐,히트맨2
이야기 전개가 뻔한데 크게 나쁘지 않다 새해니깐 오픈된 마음으로 보면 재밌다,히트맨2
입으로 열심히 싸우는 아재들의 개그 배틀,히트맨2
아예 뇌절을 해버리니 다 놓고 보게 되네,히트맨2
기어코 상영관을 화장실로 만드는 니놈들,히트맨2
트림질에서 단 한 번 웃은 후 전멸,히트맨2
유머도 자연스럽고 액션도 실감나고 이야기도 재미있었어요 이 영화 재미없단 사람이 이해가 안될 정도에요,히트맨2
그냥 코미디 영화 그래도 편보단 재밌었음,히트맨2
재밌다 근데 후반부는 어이가 없어 그냥 허허 하고 웃음이 나왔다 배우들의 연기가 매력이 있고 무난하게 웃기다 아쉬운 건 사운드 처리 조화나 자연스러움이 부족한 느낌,히트맨2
전작의 애니메이션 부분이 좋아서 분량 늘렸으면 좋겠다 생각했는데 이번에 대폭 늘어나서 좋은데 핵심인 병맛개그를 너무 줄여버려서 코메디부분이 적어져서 아쉽다,히트맨2
유치하지만 권상우 캐릭터는 맘에 들고 시리즈로 나오길 바란다,히트맨2
솔직히 코미디 영화로선 나쁘지 않았는데 우리 극장이 문제인지 대사 소리가 너무 안들려,히트맨2
눈을 질끈 감게 만드는 유치함,히트맨2
그냥 지 꼴리는 대로 만화를 그리고 있단 말입니다,히트맨2
편의 후광을 받을 줄 알았지만 뜯어보니 역광이었다,히트맨2
명절끼리 가족과 함께 그냥 웃으면서 시작할 영화,히트맨2
여기서 더 터져야 되는데 터질 수 있는데 아 좀만 더 크게 웃고싶은 마음이 충족되지 않는 간질간질 괴롭히는 영화 근데 난 재밌게 봄 가족영화로 좋음,히트맨2
속편의 징크스를 이겨내려는 패러디 강화,히트맨2
지금 우리 영화계에 필요한 영화 어릴적엔 필요 라는 단어가 가볍게 느껴쪘다 내 맘에 드는것이 필요 라고 생각되었기 때문 이젠 힌국영화의 부흥이 필요할때 맘껏 웃고즐기는,히트맨2
영화를 보고 정직한 감상을 남기는게 제대로된 평가임 요근래 본 영화 중 정말 환불 받고 싶었던 영화,히트맨2
이지원 그 사이에 정말 많이 컸구나 하는 것 말고는 뭐,히트맨2
처음부터 우리는 급 감성에 뇌를 비우고 보시고 킬링타임하고 가세요 라는 영화였기에 볼만했다 어제 검은수녀들을 봐서 더 그런지는 몰라도,히트맨2
꽁짜영화 못참잖아,히트맨2
쓸데없는 장면도 많고 인물도 많고 개그는 더많은데 남은건 젊은것들 따라가느라 다리찢어진 연출뿐,히트맨2
전 진짜 재밌게봤어요,히트맨2
진심 누가 재밌다고 했냐 진짜 고소하고 싶다 정말 쌍팔년도 유머코드 여자 밝히고 욕하면서 고함지르기 마지막 억지 감동 엔딩까지 처음부터 끝까지 일관되긴 했다 일관된 방구,히트맨2
권상우표 코믹이 주는 브랜드는 히트맨 에서도 이어진다 조금은 오버스럽지만 그래서 더 정감가는 방패연과 암살요원 준 히트멘 은 년 안에 돌아오기를 기다린다,히트맨2
편 보다 재밌었다,히트맨2
전편의 유쾌함과 급감성은 사라지고 피식 정도 할 수있는 구시대적 코미디영화 익숙한 권상우표 준수한 액션,히트맨2
