review,name
가볍게 보면 그냥 원초적한국영화 스토리 전개는 평범했지만 중간중간 웃음포인트가 킬포 포스가득한 국정요원들이 이렇게 웃겨도되는건지,히트맨
조잡한 코미디 영화,히트맨
넷플릭스에 있어서 아무생각 없이 봤는데 감독도 정말 아무생각없이 만들었나 보다,히트맨
급 감성이지만 재밌어요 나온대서 봤는데 코미디 액션 느낌 액션에 힘준게 느껴졌음 킬링타임용으로 추천,히트맨
전직 암살요원이었다는 사실은 무거운 탈을 너무도 가볍게 쓰고 만든 이 허술한 무게감을 견딜 수만 있다면 액션과 코미디라는 이 장르 단 두가지로 괜찮은 승부를 냈다 언제나 그렇,히트맨
권상우 발음 걱정없이 볼 수 있다,히트맨
영화를 보기 전에 포스터를 통해서 느껴졌던 영화의 모습은 그리 흥미롭게 느껴지지 않았습니다 그 이유에는 여러가지가 있지만 대게 어떤 영화를 패러디해서 나온 포스터나 영화가 좋은,히트맨
그저 웃음이 필요하면 보는 영화,히트맨
히트맨 가 개봉해서 찾아보게 되었네요 그럭저럭 킬링타임용으로 볼만한듯요 권상우는 이젠 코믹물에도 잘어울리는 것 같아요,히트맨
코믹영화로 재밌게 봤어요,히트맨
유치하지만 가볍게 보기 좋음,히트맨
첫 개봉 때 영화관에서 보고 넷플릭스에 개봉했을 때 또 보고 한 번은 넘게 본 거 같은데 볼 때마다 한번도 질린 적 없었던 영화예요 코미디스러우면서도 액션같은 영화였습니다,히트맨
급 코미디에 액션을 곁들인 킬링타임 영화,히트맨
명절 상품,히트맨
웃자고 만든 영화 힘 빼고 즐긴다,히트맨
킬링타임용으로 보기 딱좋은 영화,히트맨
개그 액션이다가도 멋지고 멋지다가도 웃긴,히트맨
한국형 가족 코미디 초딩과 는 잡는다 이이경의 발견 권상우는 코미디를 잘하네,히트맨
기대를 낮추어 가볍고 호탕하게 웃으면서 보기 좋은 영화,히트맨
예린이의 히트맨 줄 요약,히트맨
설에 가볍게 보기에 좋은 영화,히트맨
명절버프 제대로,히트맨
영화 히트맨 은 웹툰 작가가 되고 싶어 국정원을 탈출한 비밀 프로젝트 방패연 출신 전설의 암살요원 준 이 술김에 그리지 말아야 할 급 기밀을 그려버리면서 벌어지는 해프닝을,히트맨
전직 암살요원 준이 김수혁이라는 이름으로 새 삶을 살게 되면서 삼류 웹툰작가가 되어 아내가 벌어오는 돈으로 먹고 살고 있다 구박만 받던 수혁은 딸이 자신의 이야기로 웹툰을 써,히트맨
칼은 사람죽일 때 말고 연필 깎을 때 쓰는 거라고 그 분은 말씀하셨어요 개그과 액션을 넘나드는 권상우 씨의 활약이 대단한 작품입니다 신의 한 수 를 제외하면 권상우 씨의 타율,히트맨
최고의 장면 차안에서 핸드폰 최악의 장면 터널안에서 여자 국정원이랑 싸우는 씬의 대사들,히트맨
아무 생각없이 봤는데 아무 생각이 없네,히트맨
아무 기대 없이 가볍게 보기 좋았다,히트맨
킬링타임용 영화,히트맨
그럭저럭 심심치 않게 나왔는데,히트맨
약간 올드한 개그로 채워져있음 나름 괜찮은 소재를 아는 맛으로 비벼놨는데 꽤 맛있는 간장계란밥 먹은 기분,히트맨
권상우 코믹 잘어울림 시간 가는줄모르고 보게되네,히트맨
조금 유치해도 나는 이런 급 한국산 코미디가 좋다,히트맨
이 정도면 오락용으로 볼 만하다,히트맨
히트맨 보기전에 예습으로 봤는데 깔깔 웃으면서 봤어요,히트맨
그냥 권상우 액션이 너무나도 취향임,히트맨
만화스러운 연출에서 오는 장 단점이 극명하게 갈린다,히트맨
해도해도 너무하네,히트맨
딱히 재미도 없구 유치함,히트맨
가볍게 보기 좋아요,히트맨
생각보다 재밌어서 당황함,히트맨
기대했던것 보다 재미있어서 도 기대중,히트맨
년대 코믹 액션 영화에서 액션 연출만 발전,히트맨
한국 코미디에서 긍정적으로 넘길 수 있는 마지노선,히트맨
웹툰으로 잊고 살려던 과거의 나를 다시 마주하다,히트맨
중간중간에 요소들이 그냥 시간 때우기 좋은정도 였어요,히트맨
포스터땜에 망한영화 후속작보다 재미있다,히트맨
나를 히트를 하고 싶다,히트맨
아무생각없이 웃고 싶을때 강추합니다,히트맨
